ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_WGA,Intensity_IntegratedIntensity_WGA,Intensity_LowerQuartileIntensity_WGA,Intensity_MADIntensity_WGA,Intensity_MassDisplacement_WGA,Intensity_MaxIntensityEdge_WGA,Intensity_MaxIntensity_WGA,Intensity_MeanIntensityEdge_WGA,Intensity_MeanIntensity_WGA,Intensity_MedianIntensity_WGA,Intensity_MinIntensityEdge_WGA,Intensity_MinIntensity_WGA,Intensity_StdIntensityEdge_WGA,Intensity_StdIntensity_WGA,Intensity_UpperQuartileIntensity_WGA,Location_CenterMassIntensity_X_WGA,Location_CenterMassIntensity_Y_WGA,Location_CenterMassIntensity_Z_WGA,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_WGA,Location_MaxIntensity_Y_WGA,Location_MaxIntensity_Z_WGA,Number_Object_Number,Parent_dapi_object
1,1,90379,204387,697,458,118,105,401.31160999789773,288.72719326392195,11.683658645968386,0.9463033899442594,339.2257608343141,-460,0.4421954429587009,0.08558962824072787,636.04267588581,598.4220918381941,79.81227975693966,30.255914845753704,27.586228448267445,253.50732252525108,205.61981308499782,-1.2129589595488866,3642.7396077558988,0.749237324667573,771.1372641026974,41826.4598415643,0.29411765933036804,0.13725489377975464,3.664956675110484,0.3019607961177826,1.0,0.21080843742555969,0.462789584323397,0.4156862795352936,0.16078431904315948,0.16078431904315948,0.013319453409823517,0.20555713418677102,0.5843137502670288,402.5388846177925,285.27383193938624,0.0,401.31160999789773,288.72719326392195,0,376.0,304.0,0.0,1,1
2,1,50818,84456,758,248,350,41,529.8152032744304,164.42431815498446,4.916215694400886,0.860259691123668,254.36880151534208,-149,0.6017097660320166,0.2034084877803281,372.983559670704,414.03502267320334,89.27485648266257,30.363147681680225,26.90724809414742,200.16569664013318,190.1679508231757,1.3594210970308165,1771.859089865545,0.8883955106464809,477.0549100935459,25848.012398153543,0.33725491166114807,0.14509806036949158,4.04147412768785,0.800000011920929,1.0,0.26861199892654614,0.5086389153086218,0.4901960790157318,0.15294118225574493,0.15294118225574493,0.11985424797558451,0.20968597804805914,0.6274510025978088,531.6180960613916,168.0413736872501,0.0,529.8152032744304,164.42431815498446,0,460.0,174.0,0.0,1,1
3,1,34451,51520,410,348,186,118,299.5311892252765,218.0340483585382,4.693223323612453,0.4166540060318783,209.4382380456613,-112,0.6686917701863354,0.21307317616206747,223.65658352868664,239.0397456491284,90.70832376358854,29.347725537608824,25.079872407968907,216.52791938329045,203.31840470838776,0.41563660242326067,1425.4154390516487,0.9000208997335284,343.36863742768764,18549.518057256937,0.33725491166114807,0.16470590233802795,6.92551865331483,0.30588236451148987,1.0,0.2511840800495155,0.5384319194582723,0.4941176474094391,0.239215686917305,0.23529411852359772,0.010988607154997339,0.23100890187675185,0.6784313917160034,303.82952032881127,212.60384041207823,0.0,299.5311892252765,218.0340483585382,0,310.0,193.0,0.0,1,1
4,1,138099,464035,1016,668,301,19,632.5514739426064,357.0467490713184,149.93410704167573,0.5915443609125789,419.3245853612464,-2954,0.2976047065415324,0.0066695965296411155,592.626590692956,723.522632679863,87.72684879784524,18.772678046823334,11.40175425099138,519.392923884089,477.8184952137078,0.8266242737585552,16130.596128758081,0.49790165920349577,2331.031468987465,33536.22840535641,0.14901961386203766,0.05098038911819458,12.89604842550449,0.24313725531101227,1.0,0.1331485388123302,0.24284193517227792,0.1882352977991104,0.12156862765550613,0.12156862765550613,0.011212156811233111,0.13566932759438613,0.30588236451148987,624.0929335918174,366.78128347862474,0.0,632.5514739426064,357.0467490713184,0,584.0,258.0,0.0,1,1
5,1,96925,260764,749,530,193,61,437.19986587567706,263.4800412690224,62.21943060454952,0.7180310248810052,351.29580537412573,-1088,0.37169624641438237,0.016072149652987654,494.1212507387883,682.9560747222328,123.90722335683259,29.06794141195762,17.88854381999832,458.779716696076,343.91387383493316,-0.7376682187606596,8705.342309990701,0.5402098973921671,1492.6980846822262,32635.27914315462,0.20000000298023224,0.09411764144897461,17.602969342687334,0.24313725531101227,1.0,0.1654509071915569,0.33670651682388053,0.2823529541492462,0.15294118225574493,0.15294118225574493,0.011346990728636527,0.1926428044259375,0.3960784375667572,449.6651647859135,251.05100861325838,0.0,437.19986587567706,263.4800412690224,0,545.0,210.0,0.0,1,1
6,1,231986,784996,1109,886,223,0,584.2188752769564,369.35581457501746,113.81523141127045,0.9013664463195713,543.4829795172352,-2908,0.2955250727392241,0.008786170248044463,987.4411430139587,1120.860383812364,96.56603957913983,19.750545531048957,14.866068747318506,525.1605111563558,427.6184862719093,0.6855143005600386,18215.286783809952,0.596793072666514,1744.5529817789793,40754.859920211136,0.10980392247438431,0.04313725233078003,10.132987204560873,0.29019609093666077,0.8901960849761963,0.09082901972088193,0.17567810092079322,0.14509804546833038,0.08235294371843338,0.08235294371843338,0.010221424947076691,0.09198940148418872,0.21176470816135406,578.07203917097,361.300143555547,0.0,584.2188752769564,369.35581457501746,0,533.0,207.0,0.0,1,1
7,1,134474,302802,966,656,312,193,659.3517408569686,430.1311182830882,73.50362504176397,0.8407637293757495,413.78450253569946,-1998,0.4440987840238836,0.01360477118552739,626.131632178052,719.820116417984,106.92988356862641,23.43243494502833,15.264337522473747,346.78342684903083,338.98904847146366,-1.1175108087143053,11144.958938637874,0.7641393104937465,1255.0627606883645,27219.67920997739,0.12156862765550613,0.043137259781360626,12.491597370475526,0.16862745583057404,1.0,0.10516698179054504,0.20241592582936024,0.1568627506494522,0.09803921729326248,0.09803921729326248,0.006905984401589366,0.11932588240876763,0.2549019753932953,667.4279531913434,420.6014383726104,0.0,659.3517408569686,430.1311182830882,0,722.0,427.0,0.0,1,1
