ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_WGA,Intensity_IntegratedIntensity_WGA,Intensity_LowerQuartileIntensity_WGA,Intensity_MADIntensity_WGA,Intensity_MassDisplacement_WGA,Intensity_MaxIntensityEdge_WGA,Intensity_MaxIntensity_WGA,Intensity_MeanIntensityEdge_WGA,Intensity_MeanIntensity_WGA,Intensity_MedianIntensity_WGA,Intensity_MinIntensityEdge_WGA,Intensity_MinIntensity_WGA,Intensity_StdIntensityEdge_WGA,Intensity_StdIntensity_WGA,Intensity_UpperQuartileIntensity_WGA,Location_CenterMassIntensity_X_WGA,Location_CenterMassIntensity_Y_WGA,Location_CenterMassIntensity_Z_WGA,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_WGA,Location_MaxIntensity_Y_WGA,Location_MaxIntensity_Z_WGA,Number_Object_Number,Parent_dapi_object
1,1,130533,483414,1136,955,423,277,749.0801329931894,618.6224173197583,39.190004884847205,0.9697837391028713,407.67606931596436,-1020,0.27002320991944795,0.02551671026677135,870.1790565485549,947.008447691994,94.02127418834527,27.69239446040786,21.400934559032695,290.47779750658685,212.2942646006699,-0.8526143543668184,8017.754431512019,0.7025344047189765,1825.7804180383682,65451.746643573046,0.30588236451148987,0.17647060751914978,7.4426590582643595,0.3843137323856354,1.0,0.22618687042100696,0.5014191556431941,0.4627451002597809,0.20392157137393951,0.20392157137393951,0.019110728272100034,0.21516708860548,0.6745098233222961,748.6764771111177,611.1907125498933,0.0,749.0801329931894,618.6224173197583,0,675.0,650.0,0.0,1,1
2,1,83281,160130,573,386,95,51,306.3041269917508,224.18426772012825,11.294902560228497,0.8765306125661712,325.63271107965966,-427,0.5200836820083682,0.08853551366801432,483.49718753174443,514.0155639666955,115.80155439371269,37.75151177758683,32.01562118716424,261.7433414490404,232.72949424249745,1.055716286883292,3438.105048082993,0.8839462930531232,1008.8000455200672,53078.667597711086,0.41960784792900085,0.21176472306251526,5.943763592142808,0.4431372582912445,1.0,0.28456982948379894,0.6373442633699293,0.6274510025978088,0.26274511218070984,0.26274511218070984,0.01888499998532616,0.23870807560636242,0.8470588326454163,305.96806130177333,218.2500124600891,0.0,306.3041269917508,224.18426772012825,0,227.0,229.0,0.0,1,1
3,1,83649,200265,562,548,55,153,304.74101304259466,353.7135889251515,34.77371236985103,0.8678125203449942,326.35136690008153,-790,0.4176915586847427,0.028757355250542776,483.8583098274379,589.4412608564147,105.11898020814318,29.748684878150073,22.847319317591726,278.44856234573405,240.42521123920798,-0.8950971485427314,6045.898300239304,0.7472530417537654,1247.1608039587736,35652.008912190795,0.27450981736183167,0.1450980305671692,13.299132224126573,0.43529412150382996,1.0,0.20079871260002796,0.42620962488721675,0.42352941632270813,0.18039216101169586,0.18039216101169586,0.018307523775060477,0.1632334248342842,0.5607843399047852,308.1830768626504,340.8676123342704,0.0,304.74101304259466,353.7135889251515,0,314.0,310.0,0.0,1,1
4,1,110234,528626,976,1140,357,286,624.5126186113177,701.9453253986973,82.9382775452094,0.9455578775373946,374.638876752448,-1439,0.2085292815714702,0.012057159005441161,767.3965301683791,1045.769573089598,97.30878685915265,22.95597456441983,14.866068747318506,337.7261776588078,249.75226338647906,-0.5804454241514021,10718.653239365603,0.5268203628299976,1507.6275051534176,30934.714616686106,0.1725490242242813,0.08235293626785278,16.396399323196107,0.3019607961177826,0.8941176533699036,0.1343337347548265,0.2806277066666011,0.24705882370471954,0.11764705926179886,0.11764705926179886,0.015062681346448965,0.1318301327224629,0.3529411852359772,634.9325973248963,689.2857063533122,0.0,624.5126186113177,701.9453253986973,0,696.0,598.0,0.0,1,1
5,1,60433,98175,514,379,157,104,338.553422798802,232.91656876210018,33.44914670907179,0.6295180401424048,277.3908531422406,-878,0.6155640437993379,0.029896128851884543,318.4004309169302,359.4940889639216,108.55873986004075,31.847918981266872,25.079872407968907,273.0569964085726,247.3926347907973,1.2846148153655519,5040.046353048697,0.8427768558160291,1889.7137769460678,41327.72602108121,0.43529412150382996,0.26274511218070984,5.1558056682729125,0.6235294342041016,1.0,0.34327225739256456,0.6838602422696409,0.6431372761726379,0.30980393290519714,0.30980393290519714,0.027817372082391975,0.2583250340400381,1.0,334.40544857954905,229.8544384635322,0.0,338.553422798802,232.91656876210018,0,352.0,232.0,0.0,1,1
6,1,110821,264704,910,797,393,285,622.2369586991636,541.2517663619711,180.3113539540553,0.8578713317196222,375.6350350900399,-2813,0.41866008824951645,0.005545962459218223,564.1811061532582,640.5388356688453,95.13148795220224,20.35426536077484,9.219544457292887,341.48938199278615,289.91267158617285,-0.6931769536539,15846.286424872455,0.6650723159095001,1961.6902384832501,23761.443779967725,0.13333334028720856,0.07058823853731155,8.340071807069629,0.3176470696926117,0.7921568751335144,0.11465838088042844,0.21441282590815572,0.1921568661928177,0.0941176488995552,0.0941176488995552,0.018650118256153835,0.09728032883080182,0.2823529541492462,613.9428836325394,542.1264757630189,0.0,622.2369586991636,541.2517663619711,0,700.0,570.0,0.0,1,1
7,1,245917,899884,1521,1101,295,367,984.398118064225,755.7473578483797,207.83142287694264,0.8987762125024998,559.5634451272143,-4287,0.2732763333940819,0.0048115919438808915,1079.460217007901,1228.0268726701383,112.53888216967503,22.17644924755608,11.180339887498949,656.5817997433356,473.2436813463765,-1.5562136534691808,25342.812680515977,0.43472811483524254,3120.537314414978,57125.01332771033,0.13725490868091583,0.05882352590560913,30.66996222345395,0.3803921639919281,0.929411768913269,0.11557117567552973,0.23229387690851114,0.18431372940540314,0.10196078568696976,0.10196078568696976,0.012496643379284527,0.13130219168066024,0.27843138575553894,1014.942399069919,752.9736454203712,0.0,984.398118064225,755.7473578483797,0,662.0,810.0,0.0,1,1
