ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_BetaTubulin,Intensity_IntegratedIntensity_BetaTubulin,Intensity_LowerQuartileIntensity_BetaTubulin,Intensity_MADIntensity_BetaTubulin,Intensity_MassDisplacement_BetaTubulin,Intensity_MaxIntensityEdge_BetaTubulin,Intensity_MaxIntensity_BetaTubulin,Intensity_MeanIntensityEdge_BetaTubulin,Intensity_MeanIntensity_BetaTubulin,Intensity_MedianIntensity_BetaTubulin,Intensity_MinIntensityEdge_BetaTubulin,Intensity_MinIntensity_BetaTubulin,Intensity_StdIntensityEdge_BetaTubulin,Intensity_StdIntensity_BetaTubulin,Intensity_UpperQuartileIntensity_BetaTubulin,Location_CenterMassIntensity_X_BetaTubulin,Location_CenterMassIntensity_Y_BetaTubulin,Location_CenterMassIntensity_Z_BetaTubulin,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_BetaTubulin,Location_MaxIntensity_Y_BetaTubulin,Location_MaxIntensity_Z_BetaTubulin,Number_Object_Number,Parent_dapi_object
1,1,110718,361152,697,618,13,90,359.44700951968065,330.23231994797595,257.1554875533496,0.951326351357576,375.46043188861825,-1641,0.3065689792663477,0.003888697882803452,786.3650180865186,809.6048418827545,58.0,13.786429336762371,7.810249675906654,334.4454234234284,242.34613145142055,-1.0462194150068471,18915.243927760333,0.5412786178372908,1964.145144507289,20824.012327619363,0.11764705926179886,0.05490196496248245,7.112433073261557,0.46666666865348816,0.9372549057006836,0.10626765917368873,0.18808154344929787,0.16470588743686676,0.0470588244497776,0.0,0.02181287900519872,0.08991505239198302,0.239215686917305,354.1136698887772,325.5267708192281,0.0,359.44700951968065,330.23231994797595,0,134.0,385.0,0.0,1,1
2,1,43207,85514,750,236,244,67,519.7542759275118,161.151618950633,14.612673868769964,0.9377563298529643,234.54820615253524,-168,0.5052622962321959,0.068433745184527,439.9828559701088,505.32069025520815,61.032778078668514,19.447928606426437,16.1245154965971,161.6619232351595,152.8033701186348,1.5063904363412255,2816.7404743076763,0.789341956227849,468.84707014262676,13429.470925638452,0.16862745583057404,0.1098039299249649,18.98593985790081,0.2862745225429535,1.0,0.17692342269533085,0.3108170186691613,0.2549019753932953,0.07058823853731155,0.027450980618596077,0.020645662774923242,0.19497182077407832,0.4117647111415863,503.100368462818,152.03497052891342,0.0,519.7542759275118,161.151618950633,0,512.0,124.0,0.0,1,1
3,1,29110,45126,400,341,193,123,303.9857093782205,225.82463071109584,6.029736552115796,0.5066092190122924,192.5201369915381,-59,0.6450826574480344,0.1658447249489045,211.3270376000225,229.12005586591496,79.20858539325141,25.413891627302004,21.540659228538015,194.48007610035532,182.20105636933494,-0.6698636029970451,1485.16670171012,0.8924520203568582,194.55687047541142,8694.721795924008,0.1764705926179886,0.0941176563501358,12.293126712344886,0.25882354378700256,1.0,0.14694627679411737,0.29868504967104115,0.25882354378700256,0.06666667014360428,0.05882352963089943,0.016358979538404417,0.1571704140428883,0.3843137323856354,302.63127591137635,213.6063462836625,0.0,303.9857093782205,225.82463071109584,0,283.0,178.0,0.0,1,1
4,1,137453,577809,1017,614,36,25,574.2515841778644,342.4591678610143,117.84567436595825,0.8288321165437521,418.34267669278296,-1276,0.23788656805276484,0.008485674212314298,730.3613804157613,985.2938647936462,97.41663102366043,21.61011005163,13.152946437965905,478.07416738950405,408.63528164072585,1.3116336367873085,14267.203850834796,0.4390095113989869,2399.7686939621344,45676.6835514782,0.20000000298023224,0.09803922474384308,13.90070469540498,0.6980392336845398,1.0,0.17321847076383243,0.3323076509896343,0.2823529541492462,0.0117647061124444,0.0117647061124444,0.030903674974535247,0.17091469300572712,0.4274509847164154,562.5694915342397,334.9253572385854,0.0,574.2515841778644,342.4591678610143,0,614.0,408.0,0.0,1,1
5,1,118420,392040,773,736,179,76,436.00821651748015,300.5908714744131,110.69200805658207,0.6777795760361723,388.30017626513893,-1492,0.3020610141822263,0.009034075879162237,584.3708146437866,837.7457848297418,99.4786409235671,17.451080468965195,9.055385138137417,559.2606575575354,429.6674968717908,0.44594058116337654,12834.400676879466,0.42791376681193044,2527.823583841324,43236.373620033264,0.2235294133424759,0.10588234663009644,13.841807303929095,0.9372549057006836,1.0,0.1973320518221174,0.3651104004393959,0.30980393290519714,0.12941177189350128,0.03921568766236305,0.03996756667319452,0.18793117213273286,0.4588235318660736,449.68835412033724,302.7002468810206,0.0,436.00821651748015,300.5908714744131,0,485.0,225.0,0.0,1,1
6,1,162026,667524,1044,922,266,64,631.5022403811734,484.01779344055893,116.65262832229483,0.8826786371615237,454.2002977489771,-1998,0.24272685326669902,0.00857246008411521,814.9770564142501,937.853933190025,116.49892703368559,28.07214635707798,18.439088914585774,447.0547514994897,383.02050929879516,0.7545266797999465,15411.48725553048,0.5645544568254831,958.7686524614692,18094.61618874874,0.07058823853731155,0.03529411554336548,11.441546118390779,0.2549019753932953,0.6549019813537598,0.06018635608672123,0.11167723815158517,0.10196078568696976,0.03529411926865578,0.0,0.0095921715993295,0.05566892640244901,0.13725490868091583,638.8668024702338,492.77405992894523,0.0,631.5022403811734,484.01779344055893,0,735.0,690.0,0.0,1,1
7,1,177176,566455,1148,604,183,17,718.9986962116765,355.74527023976157,135.90726716385828,0.9588254814824181,474.9605137040312,-2122,0.3127803620764227,0.0073579582671935975,978.9489081108778,1055.0488140365828,114.23659658795863,30.356170706896705,23.430749027719962,377.15475661341156,278.0175190308742,-1.096145952633643,17395.17163445919,0.6780247367132011,1124.0980703867972,22161.49079295993,0.08235294371843338,0.035294122993946075,12.017192696997466,0.18039216101169586,0.43921568989753723,0.062325242314637236,0.12508178756129457,0.11372549086809158,0.0313725508749485,0.019607843831181526,0.010783010285913105,0.05511662107571462,0.16078431904315948,709.1659329546602,362.6539377703524,0.0,718.9986962116765,355.74527023976157,0,676.0,437.0,0.0,1,1
