ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Nucleolin,Intensity_IntegratedIntensity_Nucleolin,Intensity_LowerQuartileIntensity_Nucleolin,Intensity_MADIntensity_Nucleolin,Intensity_MassDisplacement_Nucleolin,Intensity_MaxIntensityEdge_Nucleolin,Intensity_MaxIntensity_Nucleolin,Intensity_MeanIntensityEdge_Nucleolin,Intensity_MeanIntensity_Nucleolin,Intensity_MedianIntensity_Nucleolin,Intensity_MinIntensityEdge_Nucleolin,Intensity_MinIntensity_Nucleolin,Intensity_StdIntensityEdge_Nucleolin,Intensity_StdIntensity_Nucleolin,Intensity_UpperQuartileIntensity_Nucleolin,Location_CenterMassIntensity_X_Nucleolin,Location_CenterMassIntensity_Y_Nucleolin,Location_CenterMassIntensity_Z_Nucleolin,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Nucleolin,Location_MaxIntensity_Y_Nucleolin,Location_MaxIntensity_Z_Nucleolin,Number_Object_Number
1,1,10989,21509,870,654,713,517,796.8241878241878,589.4771134771134,18.055927277138185,0.848871419000405,118.28621795076003,-196,0.510902412943419,0.05538347516863156,167.38228855743367,190.41270965983338,27.459060435491963,8.351995539058995,6.708203932499369,100.46813501725885,88.47817545345018,-0.9231142650671357,1579.0428560496184,0.7863890081580077,403.86667850613594,3780.800099045038,0.27843138575553894,0.05882352590560913,1.517148000085434,0.40784314274787903,0.8627451062202454,0.25432410485273044,0.34405315306625156,0.3333333432674408,0.23137255012989044,0.23137255012989044,0.01984094585616222,0.08042044515284766,0.3960784375667572,797.0308929569139,587.9741127977164,0.0,796.8241878241878,589.4771134771134,0,809.0,596.0,0.0,1
2,1,9814,21895,360,265,209,120,286.96056653759933,184.88485836560017,16.26927966660811,0.7539240499257363,111.78359849294031,-65,0.4482301895409911,0.06146553630474805,154.58481673476913,171.4322023425004,30.463092423455635,7.825064541419127,5.385164807134504,111.85993107800441,101.55628654582783,0.8770561146771744,1416.485460842988,0.6884601894072255,408.0000143647194,4081.949120372534,0.33725491166114807,0.05882352590560913,3.381082089874252,0.3764705955982208,1.0,0.3143297491253616,0.41593123297050477,0.3843137323856354,0.3019607961177826,0.3019607961177826,0.011353260313014996,0.1063364748712926,0.46666666865348816,284.4451631143181,182.62555278276866,0.0,286.96056653759933,184.88485836560017,0,252.0,153.0,0.0,1
3,1,3180,6438,357,373,270,299,311.185534591195,334.112893081761,8.544476590022398,0.6179726978220269,63.630981072570435,-5,0.4939422180801491,0.11703467022985649,96.8030880626398,94.04786015641186,13.892443989449804,3.886513565773242,3.605551275463989,72.4486024709932,76.1065450323173,-1.1522815098045185,584.3340905032674,0.6406124093473006,194.47059175372124,1594.2392539083958,0.4117647111415863,0.07058823108673096,0.8239871822075314,0.5568627715110779,0.9803921580314636,0.3843292327148641,0.501333098713332,0.47058823704719543,0.364705890417099,0.364705890417099,0.018895847288694676,0.112024992084699,0.5647059082984924,310.9778786917385,333.3155011430864,0.0,311.185534591195,334.112893081761,0,288.0,327.0,0.0,1
4,1,3860,5293,700,672,621,605,662.6735751295337,635.5886010362694,1.602873242973517,0.7209479239061429,70.1049544802486,0,0.7292650670697147,0.6238796513596316,85.33575204169082,85.58621384311844,27.16615541441225,10.214831483079653,9.219544457292887,59.60820355483365,59.13675821446935,1.1880348831134515,278.8355697996826,0.9328177863702272,94.82745251059532,2961.251015037298,0.5960784554481506,0.19999998807907104,0.4631747178181895,0.5254902243614197,1.0,0.39676758372634024,0.7671634753982638,0.7960784435272217,0.37254902720451355,0.37254902720451355,0.02444234756665977,0.20891828545040758,0.9960784316062927,662.736992419735,636.0474137066802,0.0,662.6735751295337,635.5886010362694,0,689.0,635.0,0.0,1
5,1,2257,4928,351,262,274,198,313.3677447939743,232.15817456801062,8.874363679205961,0.820624168404058,53.60691795344386,-20,0.45799512987012986,0.11268413557843682,86.67370040077007,85.0,10.04987562112089,3.4592416573302516,3.0,54.0579702813877,49.531268910773335,0.90541967811572,501.69448019647814,0.6669621749408984,341.0588307380676,1987.0196239352226,0.772549033164978,0.10588234663009644,0.26195060056341835,0.95686274766922,1.0,0.7382225773551248,0.8803808701529564,0.8941176533699036,0.686274528503418,0.686274528503418,0.04769951976898589,0.11334202166732685,1.0,313.6269572936269,232.19595018394705,0.0,313.3677447939743,232.15817456801062,0,286.0,206.0,0.0,1
6,1,338,504,674,492,650,471,661.2514792899408,480.29881656804736,1.482605950557969,0.7507427054013782,20.7449985808745,1,0.6706349206349206,0.6744880523538008,25.810537548788172,26.419689627245813,8.246211251235321,3.2481100499117828,3.0,16.994116628998402,17.050304946110643,-1.0103095915082851,79.35533905932738,0.896551724137931,31.39215722680092,224.88627859950066,0.4882352948188782,0.1568627655506134,0.6435513592589739,0.5254902243614197,1.0,0.4484593889542988,0.6653440195251499,0.6470588445663452,0.40784314274787903,0.40784314274787903,0.028310172199116808,0.18572032217925566,0.8019607961177826,661.7057161739141,479.84293587615275,0.0,661.2514792899408,480.29881656804736,0,664.0,478.0,0.0,1
6,2,4148,5780,663,565,595,480,628.3003857280618,525.5101253616201,6.046370463809667,0.6889222752746944,72.67322499766648,-37,0.7176470588235294,0.16538847660517397,90.61440422719141,88.32326986700618,17.72004514666935,5.907836935992039,5.0990195135927845,66.86309791477072,65.68051177807044,-0.07474210471807181,561.3990616607231,0.8600456147625959,228.00392392277718,2491.568683832884,0.46666666865348816,0.09803923964500427,1.5081610393705986,0.529411792755127,1.0,0.432645016931266,0.6006674744052275,0.5529412031173706,0.40784314274787903,0.40784314274787903,0.02166566347891455,0.16315383207893652,0.6941176652908325,626.796033721925,525.6172456785902,0.0,628.3003857280618,525.5101253616201,0,624.0,492.0,0.0,2
7,1,13433,29388,1248,849,1090,663,1162.1454626665675,748.4724931139731,52.448508679633406,0.6553480720987455,130.780070364056,-182,0.4570913297944739,0.019066319046518784,178.17826135681744,201.6953147695801,19.209372712298546,4.43067598367004,3.1622776601683795,144.23965197353857,134.582854855586,-0.4505015293054079,2975.4866863322636,0.6410097346821912,465.6509936004877,2685.6275084614754,0.1764705926179886,0.019607841968536377,0.32218840252948877,0.27843138575553894,0.6196078658103943,0.1695125568258055,0.19992760429252404,0.1921568661928177,0.16078431904315948,0.16078431904315948,0.009289430066825397,0.03591075585858816,0.21568627655506134,1162.246078265494,748.1664181754741,0.0,1162.1454626665675,748.4724931139731,0,1192.0,669.0,0.0,1
