ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_TOM20,Intensity_IntegratedIntensity_TOM20,Intensity_LowerQuartileIntensity_TOM20,Intensity_MADIntensity_TOM20,Intensity_MassDisplacement_TOM20,Intensity_MaxIntensityEdge_TOM20,Intensity_MaxIntensity_TOM20,Intensity_MeanIntensityEdge_TOM20,Intensity_MeanIntensity_TOM20,Intensity_MedianIntensity_TOM20,Intensity_MinIntensityEdge_TOM20,Intensity_MinIntensity_TOM20,Intensity_StdIntensityEdge_TOM20,Intensity_StdIntensity_TOM20,Intensity_UpperQuartileIntensity_TOM20,Location_CenterMassIntensity_X_TOM20,Location_CenterMassIntensity_Y_TOM20,Location_CenterMassIntensity_Z_TOM20,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_TOM20,Location_MaxIntensity_Y_TOM20,Location_MaxIntensity_Z_TOM20,Number_Object_Number,Parent_dapi_object
1,1,88060,228096,696,485,102,101,393.4524755848285,293.3612991142403,165.00425709844617,0.9587359977323525,334.8454483928047,-1921,0.3860655162738496,0.006060449697387941,684.3604655463337,653.4531352744434,53.81449618829484,11.016354551797873,7.0710678118654755,244.7822434148085,194.5622320137048,-1.1890374633589382,13512.691044781339,0.6368330464716007,814.8902174336836,7816.784532751422,0.054901961237192154,0.02352941408753395,31.384360416345643,0.20392157137393951,0.5333333611488342,0.05795805244905289,0.08876657429878972,0.0784313753247261,0.0,0.0,0.014221571424934638,0.04455618039490961,0.10980392247438431,363.3012963864334,302.07246847830106,0.0,393.4524755848285,293.3612991142403,0,228.0,285.0,0.0,1,1
2,1,49251,106600,830,248,297,48,543.0139083470386,164.13916468701143,75.5103768322569,0.9198907284158029,250.416295032395,-693,0.4620168855534709,0.0132432129457049,426.7526644548324,533.9850185164374,56.089214649520635,15.27922015743342,10.770329614269007,191.11300304814537,167.3616266965027,1.4271082852366581,6836.216013351647,0.7470082358829686,374.3490282725543,4381.937375992071,0.054901961237192154,0.02352941408753395,9.999540373134034,0.12156862765550613,0.40784314274787903,0.05348607347800461,0.08897154120712414,0.07450980693101883,0.027450980618596077,0.0,0.009911456816612027,0.0483799653156549,0.10980392247438431,534.8090924232023,158.42323927375602,0.0,543.0139083470386,164.13916468701143,0,528.0,147.0,0.0,1,1
3,1,28398,45344,406,334,188,126,301.0533840411297,225.98640749348544,20.662372451164725,0.3712946539166991,190.15114144119448,-292,0.6262791107974595,0.04839715295828145,201.9512521144659,224.66196829904254,70.03570517957252,20.207412032303633,16.0,201.14014932303073,187.5147858608226,-0.7252347160601834,2715.431816442575,0.85802338580536,228.2627518698573,3890.396184384823,0.08235294371843338,0.047058820724487305,11.739599109552175,0.1882352977991104,0.529411792755127,0.08352094836072349,0.13699542870571246,0.125490203499794,0.019607843831181526,0.0117647061124444,0.013768123546163611,0.07031713319749698,0.1764705926179886,298.0927190043045,214.62627326044404,0.0,301.0533840411297,225.98640749348544,0,275.0,179.0,0.0,1,1
4,1,160884,560164,947,703,69,65,581.6380373436762,360.3303498172596,1060.324576210002,0.7666251595421181,452.5968083351582,-5495,0.28720874601009705,0.0009431074431702556,699.6152309503872,883.0277458834462,69.46221994724903,8.277626048607411,2.8284271247461903,563.3563978509987,449.21937401700035,1.3284258554220538,46299.97681336274,0.4769448775947018,1933.7059412151575,9454.45125229517,0.03529411926865578,0.0156862773001194,10.134664839484783,0.364705890417099,0.7490196228027344,0.039848863314824165,0.058765640164933554,0.05098039284348488,0.0,0.0,0.013051079942528543,0.03445254634650243,0.07450980693101883,579.2647899034398,350.47747571900277,0.0,581.6380373436762,360.3303498172596,0,377.0,344.0,0.0,1,1
5,1,173177,657774,1005,737,68,35,454.0428521108461,324.3060741322462,1629.2457548095422,0.6087099990367506,469.56980805690785,-8474,0.26327735666049434,0.0006137809455989035,720.0625522733734,949.960525495665,87.09190547921202,7.764872716595514,2.0,623.8684683616984,571.292445422197,0.6789244273999632,59544.730916729226,0.3590291656646239,2353.0432061743923,8585.78848354239,0.0313725508749485,0.0156862735748291,16.99256115753099,0.4117647111415863,1.0,0.03749212418818043,0.04957811073954619,0.04313725605607033,0.0,0.0,0.013814734415660763,0.03125558299598423,0.05882352963089943,463.8000489399616,310.39405613591185,0.0,454.0428521108461,324.3060741322462,0,325.0,424.0,0.0,1,1
6,1,185333,568516,1006,794,252,40,574.4264486087205,427.13377002476625,840.3174512096464,0.8429149226787017,485.7708354197501,-6551,0.32599434316712284,0.0011900264579302604,777.2199296400595,939.4450489517734,70.83784299369935,9.45525837111932,3.605551275463989,481.57697039679044,418.18074958406976,0.7954484592555786,44238.765701968194,0.5889027641408412,1839.7765287877992,10710.568941067439,0.03529411926865578,0.0156862773001194,14.043065974004298,0.1764705926179886,0.886274516582489,0.039061902137790594,0.05779094355062206,0.05098039284348488,0.0,0.0,0.011074379906220925,0.03617898344587163,0.07058823853731155,560.6366096568988,424.47895484606585,0.0,574.4264486087205,427.13377002476625,0,396.0,234.0,0.0,1,1
7,1,137833,512076,1148,590,227,34,669.5210871126653,375.7787830200315,774.4740780522291,0.95908815250783,418.92054875534774,-5728,0.2691651239269171,0.0012911987997260793,882.1121539938293,1012.7586089488452,70.22819946431775,9.425574150989187,3.0,342.8348219387378,249.7326588072288,-1.12107866115099,36625.61953093913,0.6135182052879907,1579.9255394376814,7432.490414433181,0.03529411926865578,0.0156862735748291,22.49292898732385,0.4000000059604645,0.6196078658103943,0.03985886117961757,0.05392388190370362,0.0470588244497776,0.0,0.0,0.012817229100407047,0.026542032353898154,0.06666667014360428,650.0108301280159,386.97171502293986,0.0,669.5210871126653,375.7787830200315,0,743.0,365.0,0.0,1,1
