ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_ConcanavalinA,Intensity_IntegratedIntensity_ConcanavalinA,Intensity_LowerQuartileIntensity_ConcanavalinA,Intensity_MADIntensity_ConcanavalinA,Intensity_MassDisplacement_ConcanavalinA,Intensity_MaxIntensityEdge_ConcanavalinA,Intensity_MaxIntensity_ConcanavalinA,Intensity_MeanIntensityEdge_ConcanavalinA,Intensity_MeanIntensity_ConcanavalinA,Intensity_MedianIntensity_ConcanavalinA,Intensity_MinIntensityEdge_ConcanavalinA,Intensity_MinIntensity_ConcanavalinA,Intensity_StdIntensityEdge_ConcanavalinA,Intensity_StdIntensity_ConcanavalinA,Intensity_UpperQuartileIntensity_ConcanavalinA,Location_CenterMassIntensity_X_ConcanavalinA,Location_CenterMassIntensity_Y_ConcanavalinA,Location_CenterMassIntensity_Z_ConcanavalinA,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_ConcanavalinA,Location_MaxIntensity_Y_ConcanavalinA,Location_MaxIntensity_Z_ConcanavalinA,Number_Object_Number,Parent_dapi_object
1,1,119233,454944,1092,953,420,276,733.0859074249579,627.0537686714249,94.9311521154218,0.9626433099801701,389.63081325455727,-2067,0.26208280579587817,0.010533949896490803,788.9968264244778,932.2081312668325,89.89438247187641,26.275151709732988,19.209372712298546,304.7188840640318,213.63880489445205,-0.8511701871809109,11926.349811603135,0.6423672655765967,2302.309861764312,36652.52250097366,0.19607843458652496,0.08627451956272125,7.732034987424033,0.38823530077934265,1.0,0.17812842257364114,0.3074025018323254,0.2705882489681244,0.05098039284348488,0.003921568859368563,0.02545616431823065,0.14306758077934922,0.38823530077934265,726.430637306949,623.11781329781,0.0,733.0859074249579,627.0537686714249,0,692.0,660.0,0.0,1,1
2,1,88994,173304,575,395,77,47,297.3921837427242,219.76696181765064,12.124000883552885,0.8994140494659649,336.6165177827153,-513,0.513513825416609,0.08248102335233042,526.4411809306464,567.5852358897296,110.72488428533127,35.68089663150623,30.01666203960727,256.34356107393677,230.1062102670211,1.0678211492171699,3682.2076451874345,0.9000293287755742,1223.4235704243183,52175.78944723308,0.43529412150382996,0.14117646217346191,10.538194730336754,0.5058823823928833,1.0,0.3201003585620927,0.5862843500374528,0.5647059082984924,0.29019609093666077,0.22745098173618317,0.025642676822352977,0.18732959634047525,0.7176470756530762,307.1763500247962,223.68150372434462,0.0,297.3921837427242,219.76696181765064,0,386.0,231.0,0.0,1,1
3,1,105803,250500,554,639,53,139,282.85705509295576,381.61158946343676,25.272323681589725,0.9136487222870912,367.03210152739285,-859,0.4223672654690619,0.039568977217891356,588.5088568481365,646.4673232267816,95.81753492967766,30.795896194745545,24.596747752497688,258.0717997670107,239.2315736944897,-0.7970975502168832,5796.642420222839,0.8486985120121927,1602.9490764439106,49517.48752552271,0.3176470696926117,0.1254901885986328,8.807266277161519,0.41960784792900085,1.0,0.26433856801515676,0.46801591188834635,0.4274509847164154,0.23529411852359772,0.10196078568696976,0.024631075359029187,0.18841744480560269,0.5803921818733215,284.07288262528897,372.8886482915357,0.0,282.85705509295576,381.61158946343676,0,201.0,359.0,0.0,1,1
4,1,191096,1132488,1152,1289,270,5,614.5503830535438,715.9501140787876,281.8833751849895,0.9714072504215775,493.2656323328341,-4939,0.16873997781874953,0.0035475664336136795,1241.9118813744506,1504.7089419552208,94.13288479590966,17.395763584695207,9.0,411.8837214554613,294.85392751929487,-0.5833261632294089,26017.49392138311,0.49915760493369243,3506.8275397643447,37428.26373625733,0.13333334028720856,0.05098038911819458,16.90249778550586,0.6784313917160034,0.7568627595901489,0.12345810736716581,0.19586105274970345,0.1764705926179886,0.0784313753247261,0.0117647061124444,0.026615645743370612,0.08442710360103835,0.239215686917305,608.1400550407685,731.5898751433838,0.0,614.5503830535438,715.9501140787876,0,574.0,755.0,0.0,1,1
5,1,78745,163200,568,466,143,82,358.5757698901518,259.5595275890533,224.43585559228327,0.6867052864417977,316.6405658632046,-2784,0.48250612745098037,0.0044556160483404635,401.9487444894228,458.88996502429643,89.09545442950498,18.723637445624753,6.708203932499369,309.2012687374237,292.1909852856972,0.9830713730242981,14902.617197845393,0.6932937727260722,4380.247186526656,31169.40873026848,0.27450981736183167,0.09019607305526733,9.318677748652494,0.6627451181411743,1.0,0.26314112618807256,0.3958271475048381,0.3490196168422699,0.16078431904315948,0.10588235408067703,0.0365989337901266,0.14923313922988096,0.4941176474094391,349.6481070642607,256.88846198700713,0.0,358.5757698901518,259.5595275890533,0,386.0,215.0,0.0,1,1
6,1,140352,290848,907,831,419,235,626.9077319881441,548.5533800729594,136.7559570345687,0.8270196660551452,422.7312581092976,-2773,0.482561337880955,0.007312295725057327,600.0013573679861,664.8308055437865,87.64131445842195,15.840702129943004,8.602325267042627,355.2393490503275,337.3045577546801,-0.5675305782287728,15530.568783547613,0.728866546878408,3468.4745793640614,45044.420749789104,0.21176470816135406,0.0784313827753067,3.84183470090563,0.9764705896377563,1.0,0.21124761431049768,0.32093893033080473,0.27843138575553894,0.16862745583057404,0.0,0.04749949314338626,0.16301290860015308,0.3843137323856354,628.1948021690166,544.9335535275858,0.0,626.9077319881441,548.5533800729594,0,738.0,379.0,0.0,1,1
7,1,295241,1133125,1562,1213,267,338,995.8609170135584,770.8991298633997,488.27787519392365,0.874789471101553,613.1170495322685,-8476,0.2605546607832322,0.002048014155060459,1221.4050204223518,1301.2321084264713,128.79829191413992,18.882732956050877,8.94427190999916,812.8985603662207,591.7746792589757,-1.548291356839731,42562.46663775657,0.4111814113875306,4635.800106741488,45436.19338850165,0.09803921729326248,0.043137259781360626,6.736022562208793,0.2980392277240753,0.6470588445663452,0.09848526920484986,0.15389526992694663,0.13725490868091583,0.03921568766236305,0.0,0.01741512505840079,0.07767441655293712,0.19607843458652496,992.6841825348713,764.9592344088899,0.0,995.8609170135584,770.8991298633997,0,662.0,829.0,0.0,1,1
