ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Phalloidin,Intensity_IntegratedIntensity_Phalloidin,Intensity_LowerQuartileIntensity_Phalloidin,Intensity_MADIntensity_Phalloidin,Intensity_MassDisplacement_Phalloidin,Intensity_MaxIntensityEdge_Phalloidin,Intensity_MaxIntensity_Phalloidin,Intensity_MeanIntensityEdge_Phalloidin,Intensity_MeanIntensity_Phalloidin,Intensity_MedianIntensity_Phalloidin,Intensity_MinIntensityEdge_Phalloidin,Intensity_MinIntensity_Phalloidin,Intensity_StdIntensityEdge_Phalloidin,Intensity_StdIntensity_Phalloidin,Intensity_UpperQuartileIntensity_Phalloidin,Location_CenterMassIntensity_X_Phalloidin,Location_CenterMassIntensity_Y_Phalloidin,Location_CenterMassIntensity_Z_Phalloidin,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Phalloidin,Location_MaxIntensity_Y_Phalloidin,Location_MaxIntensity_Z_Phalloidin,Number_Object_Number,Parent_dapi_object
1,1,145333,683304,1198,1012,346,210,756.5049438186785,615.3745811343604,314.0201476788829,0.9720558077978252,430.1670870196782,-4649,0.21269156919906806,0.003184509043103184,949.2587963316995,1072.3665418130126,90.69729874698585,19.367886890508416,9.219544457292887,299.5661826992485,222.8383892688258,-0.8640148116628659,23947.810229537423,0.6135015682318028,9553.000248849392,85040.06450155377,0.4000000059604645,0.17254900932312012,5.558612499744551,0.7960784435272217,1.0,0.3580584800918063,0.585139400559775,0.5529412031173706,0.1725490242242813,0.1725490242242813,0.06115941204665467,0.20876383034238596,0.7568627595901489,754.4765318846426,610.1992823074155,0.0,756.5049438186785,615.3745811343604,0,810.0,560.0,0.0,1,1
2,1,71630,146157,563,360,90,51,301.59141421192237,213.86615943040624,61.526463896325346,0.8791053905949072,301.9969347350726,-1443,0.49008942438610537,0.016253168745160484,451.44200410824675,500.00899991900144,95.71833680126291,25.79303028060388,17.11724276862369,243.68820849661319,215.16964467409983,1.060582302621468,7441.892383053644,0.8429339703684526,3819.3098795711994,52614.643928676844,0.5607843399047852,0.18431371450424194,4.375526358800361,0.8313725590705872,1.0,0.46628126963389077,0.7345336301644122,0.7333333492279053,0.3921568691730499,0.3921568691730499,0.057787084292919344,0.1971679735778846,0.9254902005195618,300.25883569103496,209.6984903693811,0.0,301.59141421192237,213.86615943040624,0,288.0,217.0,0.0,1,1
3,1,76489,204670,540,573,55,151,299.0420452614101,348.379727803998,127.20959717279605,0.9059956628264261,312.07181791576096,-2138,0.37371866907705087,0.007861042108651937,498.9729486436588,583.4595101633017,84.29116205154607,20.95584704585458,12.041594578792296,242.76130892717066,211.20874752443427,-0.8742752898398751,11057.688773271537,0.7558425645029003,4638.0236321389675,44680.33831638098,0.4313725531101227,0.1450980305671692,10.66136739015257,0.7098039388656616,1.0,0.37725912088327374,0.5841407041062241,0.5843137502670288,0.30588236451148987,0.2705882489681244,0.0560598788272608,0.17175051689738616,0.7176470756530762,303.7007158919424,338.79006969830806,0.0,299.0420452614101,348.379727803998,0,329.0,335.0,0.0,1,1
4,1,159617,847865,1041,1289,286,166,607.9206663450635,727.4209012824449,924.5053448264787,0.9639236047758293,450.8111316416138,-8934,0.18825756458870221,0.0010816595118632777,1068.1033424340028,1311.754931380096,74.63243262818116,8.784755368945547,2.8284271247461903,399.1869827590794,284.3067279691192,-0.5484769501774247,43062.49780811166,0.4924383592072463,11325.141463384032,53485.86416448653,0.22745098173618317,0.09019607305526733,11.782964334322838,0.686274528503418,1.0,0.23122443217264607,0.33508876977067936,0.30588236451148987,0.16078431904315948,0.12941177189350128,0.05647710871599919,0.13340947951469959,0.4156862795352936,617.7582618210463,720.9355359299881,0.0,607.9206663450635,727.4209012824449,0,651.0,634.0,0.0,1,1
5,1,53867,100274,531,381,169,104,337.7066107264188,235.44179182059517,192.00652630238176,0.6463779635077689,261.88851551041523,-2238,0.537198077268285,0.00520815630206834,308.67679609239315,363.3207948906861,75.16648189186454,15.577955266638094,5.385164807134504,266.53340834074226,235.52576145700058,1.2341117320698596,11400.511103741874,0.7485998582486763,6434.890360891819,39211.89860120416,0.529411792755127,0.2078431248664856,4.301757029741085,0.9960784316062927,1.0,0.506445015023754,0.7279391575770724,0.6941176652908325,0.40784314274787903,0.25882354378700256,0.07886230170347994,0.21415590968332618,1.0,333.6447638748996,234.02527719033876,0.0,337.7066107264188,235.44179182059517,0,291.0,235.0,0.0,1,1
6,1,238990,1008024,926,1228,60,64,550.842708899954,644.2416126197749,3860.040250102608,0.7211318089919143,551.6262491907511,-20427,0.23708760902518194,0.0002590646561194324,953.8496834347987,1251.3880293498096,73.68174807915459,5.4099645089142445,1.0,811.29541682204,660.8250464579146,-0.3730265338534192,107669.00837873034,0.34171499490980634,21808.89472436905,53855.479882346466,0.15294118225574493,0.054901957511901855,29.25740013327824,0.7372549176216125,0.8588235378265381,0.1779867521228836,0.22534616461921614,0.20000000298023224,0.11372549086809158,0.019607843831181526,0.05295688476669455,0.09318792294526726,0.27450981736183167,565.917763671771,619.1669603552774,0.0,550.842708899954,644.2416126197749,0,701.0,463.0,0.0,1,1
7,1,301581,1621296,1674,1269,216,157,972.8861300944025,753.3636833885424,2204.9766475020115,0.8589891322213352,619.6651153169549,-18971,0.18601230127009505,0.00045351954231936497,1273.32355147502,1538.3003607878404,89.8276126811795,8.346163564288158,2.23606797749979,1026.5619065916549,651.9337879814251,-1.4805129821675709,91413.20116936968,0.3027745372257439,23221.984890550375,96857.481028229,0.21176470816135406,0.0784313827753067,13.950443734650278,0.6313725709915161,1.0,0.22291536170781936,0.32116572671431226,0.27843138575553894,0.1568627506494522,0.14509804546833038,0.05255452547594856,0.14230578021027251,0.38823530077934265,985.8491245857794,748.2085253686389,0.0,972.8861300944025,753.3636833885424,0,1179.0,761.0,0.0,1,1
