ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Phalloidin,Intensity_IntegratedIntensity_Phalloidin,Intensity_LowerQuartileIntensity_Phalloidin,Intensity_MADIntensity_Phalloidin,Intensity_MassDisplacement_Phalloidin,Intensity_MaxIntensityEdge_Phalloidin,Intensity_MaxIntensity_Phalloidin,Intensity_MeanIntensityEdge_Phalloidin,Intensity_MeanIntensity_Phalloidin,Intensity_MedianIntensity_Phalloidin,Intensity_MinIntensityEdge_Phalloidin,Intensity_MinIntensity_Phalloidin,Intensity_StdIntensityEdge_Phalloidin,Intensity_StdIntensity_Phalloidin,Intensity_UpperQuartileIntensity_Phalloidin,Location_CenterMassIntensity_X_Phalloidin,Location_CenterMassIntensity_Y_Phalloidin,Location_CenterMassIntensity_Z_Phalloidin,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Phalloidin,Location_MaxIntensity_Y_Phalloidin,Location_MaxIntensity_Z_Phalloidin,Number_Object_Number,Parent_dapi_object
1,1,116287,336825,699,628,24,129,361.2566580959179,338.62387885146234,70.13378929026888,0.9257125186802071,384.78722294096235,-1493,0.34524456320047503,0.014258462434721902,778.6819682527148,782.9227292651556,84.8999411071645,22.939707365980468,16.401219466856727,418.40445096374117,294.51923370019455,-1.0496133323574963,10123.581125533212,0.5054264441904232,2923.094256274402,55355.95436451584,0.3294117748737335,0.11372548341751099,17.483055387530648,0.5490196347236633,1.0,0.2779399311851671,0.4760287423746063,0.42352941632270813,0.10980392247438431,0.10980392247438431,0.02387191861128657,0.185434759728651,0.5764706134796143,376.03557143175556,329.283592651604,0.0,361.2566580959179,338.62387885146234,0,385.0,304.0,0.0,1,1
2,1,55108,147744,948,270,300,42,525.7825179647239,168.03718153444146,17.31721407696652,0.9137540758912066,264.8880609451195,-412,0.37299653454624215,0.05774600900326638,466.739902527186,647.4828183048567,88.32326986700618,28.220244732696464,24.041630560342615,209.50208070479044,189.6213723913095,1.4184685449484968,3462.9902576697323,0.6534261356225619,853.1843253597617,21058.769181862473,0.2705882489681244,0.08627450466156006,10.414223186819955,0.6313725709915161,1.0,0.23529628388300103,0.38213633559306226,0.3490196168422699,0.08627451211214066,0.08627451211214066,0.06771337386753437,0.14498174600126515,0.45490196347236633,516.8335779337631,162.71059567601714,0.0,525.7825179647239,168.03718153444146,0,467.0,87.0,0.0,1,1
3,1,36672,64080,399,357,132,117,281.6431609947644,214.53100458115182,15.134000137808156,0.555988267323765,216.0838739576091,-369,0.5722846441947566,0.06607638369856848,246.7108675120013,279.3420841906926,73.06161783043132,21.33010703850815,16.492422502470642,237.70703038658885,205.06364017514403,1.1522369242262553,2640.882609931407,0.8374897232118389,666.5019741207361,15026.278825566173,0.27843138575553894,0.07843136787414551,10.392771057591935,0.32549020648002625,1.0,0.24307147123294534,0.4097480046238594,0.34117648005485535,0.1725490242242813,0.1725490242242813,0.015501271120147998,0.1824068564457036,0.48627451062202454,284.50165061482164,204.5390714675073,0.0,281.6431609947644,214.53100458115182,0,270.0,164.0,0.0,1,1
4,1,266663,965932,1280,774,4,17,606.1197391464133,353.44277233811965,351.10918817524737,0.854153361224855,582.6884902910925,-7612,0.27606808760865154,0.002848116864150177,930.7030082732875,1278.0332546534148,82.46211251235322,15.225907422457274,7.615773105863909,631.0959277691461,483.9852836252278,1.4447584110263048,34301.049614278156,0.49913617058712323,4261.290287852287,46178.6639829129,0.12156862765550613,0.035294122993946075,7.948644050080705,0.3960784375667572,0.9803921580314636,0.11264017043832537,0.1731723710560254,0.15294118225574493,0.09019608050584793,0.09019608050584793,0.020172290881165983,0.07367667554682925,0.20000000298023224,612.6104198001351,358.0310189407212,0.0,606.1197391464133,353.44277233811965,0,921.0,319.0,0.0,1,1
5,1,174239,550044,1006,637,80,43,447.2407669924644,297.80849293212196,118.40523585243264,0.5766735999609327,471.0074150532134,-2954,0.31677283999098255,0.008445572468149051,648.2290713058986,941.8471213525048,123.3288287465668,20.442705045686928,11.180339887498949,538.3959102127625,529.5867108604484,-1.101367607065754,16101.378920709129,0.4417354135715771,2777.7451898753643,46076.69925941527,0.1921568661928177,0.050980404019355774,10.41969048539409,0.4274509847164154,1.0,0.16151559424789885,0.26444538398071193,0.23529411852359772,0.13725490868091583,0.12941177189350128,0.02160597937485716,0.11483916593078893,0.3019607961177826,450.1303957680841,287.79749920769467,0.0,447.2407669924644,297.80849293212196,0,491.0,206.0,0.0,1,1
6,1,229626,811545,1109,885,192,0,598.4119960283243,367.4067744941775,325.95158384775976,0.9002703696072125,540.7114791636631,-5211,0.2829491895088997,0.003067940300198277,1033.739597108906,1123.0160283807172,81.02468759581859,15.812652735244404,9.055385138137417,552.470130822605,450.0191086930734,0.6138698402506161,30668.46293049678,0.5284857467698355,3451.639273814857,38533.357859987766,0.11764705926179886,0.03921569138765335,28.490839115711214,0.29019609093666077,0.7019608020782471,0.10279772683130885,0.1678092108906995,0.15294118225574493,0.06666667014360428,0.05098039284348488,0.012323594386538855,0.06653486984616676,0.20000000298023224,593.1172155605792,339.4122533638612,0.0,598.4119960283243,367.4067744941775,0,536.0,208.0,0.0,1,1
7,1,289824,708470,1148,722,133,24,648.7545648393508,421.44994203378604,71.36692541984095,0.9340976590347021,607.4663594087526,-3296,0.40908436489900774,0.014012093054550822,1100.6394702743341,1165.9266700783544,118.71394189394942,24.72694926172622,17.26267650163207,447.5968861376255,392.94765701908074,-1.1393021720735723,16122.062433086063,0.778558898825274,2361.1922437250614,66761.18998780102,0.16862745583057404,0.04313725233078003,7.180279598006783,0.25882354378700256,0.9725490212440491,0.13974859397047001,0.23035079906357311,0.20392157137393951,0.11764705926179886,0.11764705926179886,0.01773765537597378,0.09474520089211694,0.2666666805744171,649.6958863677976,428.5682514458329,0.0,648.7545648393508,421.44994203378604,0,719.0,429.0,0.0,1,1
