ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_GOLPH4,Intensity_IntegratedIntensity_GOLPH4,Intensity_LowerQuartileIntensity_GOLPH4,Intensity_MADIntensity_GOLPH4,Intensity_MassDisplacement_GOLPH4,Intensity_MaxIntensityEdge_GOLPH4,Intensity_MaxIntensity_GOLPH4,Intensity_MeanIntensityEdge_GOLPH4,Intensity_MeanIntensity_GOLPH4,Intensity_MedianIntensity_GOLPH4,Intensity_MinIntensityEdge_GOLPH4,Intensity_MinIntensity_GOLPH4,Intensity_StdIntensityEdge_GOLPH4,Intensity_StdIntensity_GOLPH4,Intensity_UpperQuartileIntensity_GOLPH4,Location_CenterMassIntensity_X_GOLPH4,Location_CenterMassIntensity_Y_GOLPH4,Location_CenterMassIntensity_Z_GOLPH4,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_GOLPH4,Location_MaxIntensity_Y_GOLPH4,Location_MaxIntensity_Z_GOLPH4,Number_Object_Number,Parent_dapi_object
1,1,105132,389343,1058,901,359,344,715.1810580983906,642.7293307461097,138.58458414548684,0.9471585727226616,365.8663961299222,-1402,0.27002411755187583,0.007215809797070897,725.6874490778725,834.6028995875823,72.67048919609665,12.217848114482761,6.082762530298219,286.0871188926527,232.77564690746033,-0.8229116120344675,13530.998836094663,0.6379794767854651,1089.0039528235793,12635.580729518086,0.08235294371843338,0.027450986206531525,13.420180030394597,0.21176470816135406,1.0,0.0843143351520269,0.12018777089295443,0.10588235408067703,0.01568627543747425,0.0,0.011369063836146687,0.07143221021246023,0.14509804546833038,702.8478749880308,648.0202499870862,0.0,715.1810580983906,642.7293307461097,0,782.0,464.0,0.0,1,1
2,1,75821,178143,595,405,96,48,314.2991651389457,225.1859643106791,74.39702968100174,0.8960838343631026,310.7061240486978,-693,0.4256187444917847,0.013441396844575413,499.6763681784521,554.6332121321261,73.40980860893181,15.180875974053823,8.0,262.1094735922168,221.79877071318282,1.0149533690970685,8419.329070661353,0.7311219324044164,350.035303235054,4835.258960338309,0.04313725605607033,0.0156862735748291,12.735338012385016,0.1764705926179886,0.4745098054409027,0.04426344249305185,0.06377202833434417,0.05882352963089943,0.0117647061124444,0.0,0.00675140805303888,0.029469507092024425,0.0784313753247261,323.42261132918003,234.07143356691972,0.0,314.2991651389457,225.1859643106791,0,260.0,316.0,0.0,1,1
3,1,69107,233696,569,577,33,141,283.3382146526401,350.8064884888651,77.37670840038761,0.956325138462157,296.6306882606938,-686,0.2957132342872792,0.012923785731818368,590.8855937897548,647.6495966184184,69.77105417004964,13.508452335720238,7.0710678118654755,219.133308125876,172.71883019039004,-0.9034551382885121,8197.304684043713,0.6882550368990827,368.7803999995813,4137.698156207334,0.03529411926865578,0.019607845693826675,8.45010085810342,0.1568627506494522,0.9450980424880981,0.047912225542364725,0.05987379218034836,0.054901961237192154,0.003921568859368563,0.0,0.007776427435351471,0.03888530664050399,0.07450980693101883,276.7905153868956,356.14800876285915,0.0,283.3382146526401,350.8064884888651,0,140.0,559.0,0.0,1,1
4,1,24267,36783,762,730,561,547,666.3486627930935,637.5788107306219,2.4088279253017144,0.7668447104450763,175.7774275386012,-9,0.6597341163037272,0.41513965754724735,220.42100144081238,229.09386722476881,67.89698078707183,25.889596479570287,23.259406699226016,154.72041870613512,141.47340224555316,-0.8690866881322588,857.0691552395617,0.9090466379471811,13.717647527344525,231.80393127910793,0.003921568859368563,0.003921568859368563,3.142080711112557,0.05098039284348488,0.1882352977991104,0.018487395589413105,0.009552228593526514,0.007843137718737125,0.0,0.0,0.010942717114893767,0.010248583989883321,0.0117647061124444,668.6617661745987,639.7053628559211,0.0,666.3486627930935,637.5788107306219,0,599.0,601.0,0.0,1,1
5,1,31549,55146,466,341,193,139,330.4406795777996,230.62604202985833,50.89311233903777,0.8063442295501941,200.4231383769091,-502,0.5720995176440721,0.0196490242793217,269.97645173726903,286.53097563788805,62.39390995922599,16.38319711963585,10.04987562112089,176.13135557155968,159.67663228018566,1.1665382260657653,4491.870596091337,0.781670424419613,413.01177547266707,3346.827542818617,0.07450980693101883,0.023529410362243652,2.989759949750065,0.20000000298023224,0.7843137383460999,0.08986331059022347,0.10608347468441526,0.09803921729326248,0.003921568859368563,0.0,0.017942645605105865,0.04837917288151387,0.12941177189350128,333.3962417989418,230.17513570467926,0.0,330.4406795777996,230.62604202985833,0,385.0,217.0,0.0,1,1
6,1,76274,168780,805,740,417,305,629.3047565356478,526.8311351181268,88.46401904939488,0.7878998206970187,311.6329139149615,-621,0.4519137338547221,0.011304030844920564,456.8407553441626,512.0703076726867,70.34912934784623,13.840199856906874,7.211102550927978,340.9971390959099,281.32410712626836,-0.8383564906129468,9208.237800313957,0.6149244586336445,569.5843344535679,6824.219805904664,0.054901961237192154,0.0313725471496582,16.53832208084964,0.30980393290519714,1.0,0.06639285866109895,0.08946980368021429,0.0784313753247261,0.0117647061124444,0.0,0.014255337556136397,0.07011554848394136,0.11372549086809158,640.7157263903454,514.8600923805411,0.0,629.3047565356478,526.8311351181268,0,777.0,443.0,0.0,1,1
7,1,77424,230789,1421,1004,888,571,1196.4077547013846,762.028815354412,161.95938579251307,0.7049266398092934,313.9734041468723,-595,0.33547526095264507,0.006174387455884185,485.733495680742,543.184130843308,80.62257748298549,16.385998563223534,5.656854249492381,380.2532092392684,344.5211613639775,1.5026355268354672,12552.949883390635,0.4985094423447148,438.4196236534044,3410.525591260288,0.019607843831181526,0.01568627543747425,18.669863436706976,0.10588235408067703,0.9686274528503418,0.038420789032810834,0.044049979221692084,0.03921568766236305,0.0,0.0,0.006587186816565905,0.036966297649854846,0.054901961237192154,1214.8883904231134,759.377418728848,0.0,1196.4077547013846,762.028815354412,0,1356.0,830.0,0.0,1,1
