ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_ConcanavalinA,Intensity_IntegratedIntensity_ConcanavalinA,Intensity_LowerQuartileIntensity_ConcanavalinA,Intensity_MADIntensity_ConcanavalinA,Intensity_MassDisplacement_ConcanavalinA,Intensity_MaxIntensityEdge_ConcanavalinA,Intensity_MaxIntensity_ConcanavalinA,Intensity_MeanIntensityEdge_ConcanavalinA,Intensity_MeanIntensity_ConcanavalinA,Intensity_MedianIntensity_ConcanavalinA,Intensity_MinIntensityEdge_ConcanavalinA,Intensity_MinIntensity_ConcanavalinA,Intensity_StdIntensityEdge_ConcanavalinA,Intensity_StdIntensity_ConcanavalinA,Intensity_UpperQuartileIntensity_ConcanavalinA,Location_CenterMassIntensity_X_ConcanavalinA,Location_CenterMassIntensity_Y_ConcanavalinA,Location_CenterMassIntensity_Z_ConcanavalinA,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_ConcanavalinA,Location_MaxIntensity_Y_ConcanavalinA,Location_MaxIntensity_Z_ConcanavalinA,Number_Object_Number,Parent_dapi_object
1,1,74479,176681,688,422,141,99,412.5919655204823,277.3493467957411,22.31709346878128,0.9639191648248889,307.9441638549595,-531,0.42154504445865715,0.044808702414535766,640.9448903440523,575.5215026391281,71.34423592694787,23.49966940740016,21.095023109728988,198.3755484493919,170.61640413120045,-1.2036590223955501,4570.257464443241,0.7565697916560853,859.4706064164639,25089.067281991243,0.250980406999588,0.07843136787414551,3.794816001397287,0.33725491166114807,1.0,0.1865980474199878,0.3368609578806273,0.32156863808631897,0.14901961386203766,0.14509804546833038,0.01994735095556218,0.11735845291021098,0.40784314274787903,412.1077808480012,273.58554636434263,0.0,412.5919655204823,277.3493467957411,0,596.0,188.0,0.0,1,1
2,1,58762,121397,836,248,207,55,534.2050644974644,165.23178244443687,33.07198508711944,0.9374274042024806,273.5289785886088,-613,0.48404820547459987,0.03023707217349558,506.4737495408003,628.6238939143182,74.46475676452586,20.364077800085706,16.1245154965971,190.48356635899,176.34442973856807,1.4799257026013175,4941.779325743938,0.725232952792348,1423.3137811273336,29856.581244304776,0.3843137323856354,0.11372548341751099,8.803538138013101,0.6313725709915161,1.0,0.28420802338804585,0.5080933467939276,0.501960813999176,0.24313725531101227,0.24313725531101227,0.038996693675451506,0.16096587162391546,0.6078431606292725,542.9799595614796,165.94136003918737,0.0,534.2050644974644,165.23178244443687,0,713.0,211.0,0.0,1,1
3,1,30292,45580,413,336,201,121,311.0323517760465,222.34936616928562,2.7336127587450645,0.5913123217762143,196.38984772415694,-33,0.6645897323387451,0.36581626157578945,223.2783304073859,229.21169254643183,82.87339742040264,28.501477386972375,25.238858928247925,191.09641780754657,180.06116712910116,-0.6022097332499758,1020.0874452027914,0.9444409802332107,386.24706396460533,23545.686518132687,0.5764706134796143,0.1607843041419983,5.598224468045032,0.5647059082984924,1.0,0.41711346000497335,0.7772905888727283,0.8392156958580017,0.3490196168422699,0.239215686917305,0.027199468956737863,0.2188843580567543,1.0,310.13396600712275,216.82369696050978,0.0,311.0323517760465,222.34936616928562,0,389.0,191.0,0.0,1,1
4,1,147074,571242,961,641,23,32,554.0254497735833,332.3664481825476,62.18129984444341,0.8438181985305611,432.7359851022091,-973,0.257463561852945,0.01608200540197233,761.4887807565295,942.5354104753836,81.83520025025906,19.190577922088867,13.892443989449804,529.7982561120672,408.63707942157964,1.2845783734712346,10720.197395242887,0.47077991709479683,304.94510605651885,7277.008057849016,0.03529411926865578,0.011764705181121826,20.534441746416057,0.21176470816135406,0.29411765933036804,0.02970437425058629,0.04947854860715705,0.04313725605607033,0.007843137718737125,0.003921568859368563,0.007402681162264561,0.022551106935541843,0.05882352963089943,538.6694331887501,318.7335448790219,0.0,554.0254497735833,332.3664481825476,0,914.0,430.0,0.0,1,1
5,1,103561,372210,715,622,62,52,376.65686889852356,242.34962968685122,58.07649843803403,0.7242486699942915,363.1225144387472,-547,0.2782327180892507,0.01721866894346207,528.1989994005404,760.4978632448615,103.23274674249446,21.386114462989973,12.649110640673518,432.53708302885434,364.2137453070234,-1.2334972403491946,8693.672216411862,0.47880623237320263,441.0823610126972,8945.635536996648,0.054901961237192154,0.019607845693826675,4.823536685302527,0.6901960968971252,1.0,0.05449497912190477,0.08638035106842004,0.07450980693101883,0.027450980618596077,0.0,0.028986702345525316,0.053570151413076514,0.09803921729326248,374.63314798112185,246.72810656847685,0.0,376.65686889852356,242.34962968685122,0,252.0,370.0,0.0,1,1
6,1,167414,691934,1076,905,277,39,614.5364784307167,436.89821042445675,205.32183853545789,0.8884016514022032,461.69050796208984,-2108,0.24195082189919848,0.004870402520905276,820.9547537018362,991.9032210856058,96.54014708917737,20.17749664342994,10.770329614269007,444.3212971882207,376.873231712282,0.6910842361571907,20783.485881364424,0.5669381465991635,3200.1020768880844,41478.2285415316,0.16862745583057404,0.0627451092004776,21.085539993042744,0.364705890417099,0.7568627595901489,0.1561482422605682,0.24775842248277682,0.2235294133424759,0.062745101749897,0.0,0.023759623802049937,0.11045586937478034,0.3019607961177826,632.6606543978221,447.6738422997392,0.0,614.5364784307167,436.89821042445675,0,395.0,224.0,0.0,1,1
7,1,118167,307800,1035,593,351,143,696.3579933483968,373.2650232298357,71.81400913150406,0.9390171838354399,387.8851599155605,-1588,0.3839083820662768,0.013924859677014054,720.2990978705847,766.1344529519606,83.57032966310472,23.853213654557905,19.4164878389476,333.53092532387365,247.68940952172798,-1.12878754265463,10326.606378702629,0.7355647129127035,1884.1686797365546,35228.64800527692,0.21568627655506134,0.06666666269302368,1.2140287596967048,0.3607843220233917,1.0,0.17167823961153117,0.29812594045103047,0.27450981736183167,0.08235294371843338,0.06666667014360428,0.022596970376977846,0.11893708255920324,0.3490196168422699,695.6715360301442,372.2637030115298,0.0,696.3579933483968,373.2650232298357,0,679.0,363.0,0.0,1,1
