ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_atf6_objects_Count,Children_bt_objects_Count,Children_cona_objects_Count,Children_g4_objects_Count,Children_hsp60_objects_Count,Children_ph_objects_Count,Children_sor_objects_Count,Children_t20_objects_Count,Children_wga_objects_Count,Intensity_IntegratedIntensityEdge_DAPI,Intensity_IntegratedIntensity_DAPI,Intensity_LowerQuartileIntensity_DAPI,Intensity_MADIntensity_DAPI,Intensity_MassDisplacement_DAPI,Intensity_MaxIntensityEdge_DAPI,Intensity_MaxIntensity_DAPI,Intensity_MeanIntensityEdge_DAPI,Intensity_MeanIntensity_DAPI,Intensity_MedianIntensity_DAPI,Intensity_MinIntensityEdge_DAPI,Intensity_MinIntensity_DAPI,Intensity_StdIntensityEdge_DAPI,Intensity_StdIntensity_DAPI,Intensity_UpperQuartileIntensity_DAPI,Location_CenterMassIntensity_X_DAPI,Location_CenterMassIntensity_Y_DAPI,Location_CenterMassIntensity_Z_DAPI,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_DAPI,Location_MaxIntensity_Y_DAPI,Location_MaxIntensity_Z_DAPI,Number_Object_Number
1,1,18000,29322,648,295,467,133,557.1523888888889,215.536,1.4024433141556722,0.8425698805359184,151.3879513212096,1,0.6138735420503376,0.7130412972178063,208.98795971119227,198.66806487203723,53.0,20.714519970978227,19.209372712298546,110.22326773768687,112.55820598744053,-0.946273723802096,563.2274887854693,0.9458252325153697,1,1,1,1,1,1,1,1,1,95.29411914944649,8069.851200148463,0.3686274588108063,0.0784313976764679,1.4763851644884043,0.2823529541492462,0.8392156958580017,0.20061919820936103,0.4483250666749146,0.45098039507865906,0.13333334028720856,0.13333334028720856,0.020845292588847802,0.1182245408918522,0.529411792755127,558.0133924061956,214.33667264806186,0.0,557.1523888888889,215.536,0,556.0,194.0,0.0,1
2,1,16198,21060,703,232,508,124,606.2713297938017,180.9983331275466,1.330547955724635,0.8373796052785863,143.610355286867,1,0.7691358024691358,0.7515700548015092,195.66179263331722,195.3176899310454,52.172789842982326,20.618467172729478,19.0,105.36611266965791,106.95300207298865,1.4360481920272485,520.4163056034262,0.9840826245443499,1,1,1,1,1,1,1,1,1,182.16470843553543,14896.023574084044,1.0,0.0,0.1495852801953819,0.4941176474094391,1.0,0.40481046319007874,0.9196211615066084,1.0,0.3294117748737335,0.3294117748737335,0.028964722916013767,0.1740927324893617,1.0,606.3393465172392,181.1315603071458,0.0,606.2713297938017,180.9983331275466,0,603.0,182.0,0.0,1
3,1,10203,13685,377,324,262,205,319.1549544251691,262.6295207291973,1.2070910781881437,0.4516998376760717,113.97746740006494,1,0.7455608330288637,0.8284379017207306,121.24420222112575,122.14745187681976,50.21951811795888,18.184667337715368,16.1245154965971,109.8,108.17043634483626,0.7172779109379085,393.4041122946064,0.9737545333078832,1,1,1,1,1,1,1,1,1,122.71372815966606,8269.956940978765,0.6509804129600525,0.11764705181121826,2.0728910715949485,0.4941176474094391,1.0,0.3663096362975106,0.8105416976358685,0.8823529481887817,0.26274511218070984,0.26274511218070984,0.03368624499741805,0.20738032009222118,1.0,320.9437689503137,263.67690794953637,0.0,319.1549544251691,262.6295207291973,0,306.0,272.0,0.0,1
4,1,21401,28764,792,567,588,426,689.7979533666651,495.56039437409464,1.3771398762952378,0.7327072324565582,165.0714981360417,1,0.7440203031567236,0.7261426505854917,200.28144998067233,203.8872237291979,67.7421582177598,25.488917911882105,22.825424421026653,138.09514933650013,136.3003355007978,-1.457511637412338,608.5706345359769,0.9720657703488372,1,1,1,1,1,1,1,1,1,110.32157009840012,10086.682661771774,0.3803921639919281,0.09019607305526733,3.087610341049961,0.29019609093666077,0.8705882430076599,0.2113440040199236,0.4713182870787241,0.48627451062202454,0.14901961386203766,0.14901961386203766,0.020608521684096652,0.1288425546912574,0.5637255162000656,689.7837249044985,498.64797193085707,0.0,689.7979533666651,495.56039437409464,0,721.0,483.0,0.0,1
5,1,26186,35295,504,359,323,164,411.49610478881846,263.2612464675781,1.1805168544290696,0.6068044535497501,182.59531954142463,1,0.7419181187136988,0.8470865928327873,204.99562751634323,205.91260281974002,80.60397012554654,29.4437048920858,26.1725046566048,162.61765463025253,162.941010856089,0.647350205978707,623.2691193458119,0.986884751639406,1,1,1,1,1,1,1,1,1,172.28627982735634,19456.804251253605,0.6235294342041016,0.13333332538604736,2.300156133698235,0.45490196347236633,1.0,0.3262997724002961,0.7430231517319791,0.7490196228027344,0.21960784494876862,0.21960784494876862,0.03944100951329761,0.175678832776228,0.886274516582489,413.7741956885078,263.5790830484529,0.0,411.49610478881846,263.2612464675781,0,403.0,241.0,0.0,1
6,1,21884,29624,672,467,511,283,589.0978797294828,376.95987936391884,1.386581239660854,0.6990881437060095,166.9238574829383,1,0.7387253578179854,0.7211982763048139,197.93757942084903,198.20443990990717,68.87670143089025,25.780093541985423,23.08679276123039,141.76162252463763,141.53239621799818,0.5314778636971559,617.5056633785213,0.9708961845607809,1,1,1,1,1,1,1,1,1,99.88627663999796,9264.404154904187,0.3529411852359772,0.07450979948043823,3.3515152484886603,0.3333333432674408,0.8627451062202454,0.1891785542424204,0.4233414437444794,0.42352941632270813,0.09019608050584793,0.0784313753247261,0.03385374249764197,0.11212510247989564,0.49803921580314636,592.4214919328431,376.52830505684483,0.0,589.0978797294828,376.95987936391884,0,627.0,405.0,0.0,1
7,1,24240,35360,761,450,553,280,657.4470709570957,365.11464521452143,1.3126806618669224,0.8078999357695632,175.6796134000196,1,0.6855203619909502,0.7617999023294658,229.06498132833724,224.72205054244233,67.00746227100382,26.11696608928398,23.769728648009426,134.62638933686944,134.99250315694485,-1.0365879811822547,632.3401871576773,0.982769106020677,1,1,1,1,1,1,1,1,1,167.6392216384411,17416.38463419676,0.6117647290229797,0.11764705181121826,0.7027989946694263,0.40392157435417175,1.0,0.31334433951110485,0.7184977159322095,0.7254902124404907,0.250980406999588,0.250980406999588,0.023739180663824796,0.17780581456082017,0.8470588326454163,658.1373707239118,364.982688180446,0.0,657.4470709570957,365.11464521452143,0,660.0,369.0,0.0,1
