ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_HSP60,Intensity_IntegratedIntensity_HSP60,Intensity_LowerQuartileIntensity_HSP60,Intensity_MADIntensity_HSP60,Intensity_MassDisplacement_HSP60,Intensity_MaxIntensityEdge_HSP60,Intensity_MaxIntensity_HSP60,Intensity_MeanIntensityEdge_HSP60,Intensity_MeanIntensity_HSP60,Intensity_MedianIntensity_HSP60,Intensity_MinIntensityEdge_HSP60,Intensity_MinIntensity_HSP60,Intensity_StdIntensityEdge_HSP60,Intensity_StdIntensity_HSP60,Intensity_UpperQuartileIntensity_HSP60,Location_CenterMassIntensity_X_HSP60,Location_CenterMassIntensity_Y_HSP60,Location_CenterMassIntensity_Z_HSP60,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_HSP60,Location_MaxIntensity_Y_HSP60,Location_MaxIntensity_Z_HSP60,Number_Object_Number,Parent_dapi_object
1,1,106731,346896,695,623,38,95,386.4884803852676,318.6094199435965,57.238089606273704,0.9402670776131735,368.63820996897306,-750,0.30767434620174344,0.017470883582571435,770.5332942846812,779.8012567314828,80.77747210701756,20.5249129241942,14.866068747318506,341.30443278471967,262.31857701989964,-1.0479568989492407,8761.788919397426,0.5334949515145456,339.50589418411255,9335.125753429253,0.05098039284348488,0.027450982481241226,11.858815767702728,0.11764705926179886,0.41960784792900085,0.03962949622786419,0.08746405218192702,0.07450980693101883,0.0313725508749485,0.0,0.0053065218125323485,0.04937337123704329,0.11372549086809158,376.43019808662626,312.3275039450215,0.0,386.4884803852676,318.6094199435965,0,277.0,281.0,0.0,1,1
2,1,47291,86395,776,248,309,63,538.0399018840794,169.66644816138378,39.38551715314038,0.917605593763201,245.38290753447066,-575,0.547381214190636,0.025390043657717104,413.7684922602651,469.3527458106536,61.0,15.293010566334177,10.816653826391969,178.2605624153495,164.46970936528686,1.404289249186341,4837.962045907485,0.8374831763122477,288.0862815864384,4860.682485431433,0.054901961237192154,0.027450982481241226,5.229287905018691,0.1411764770746231,1.0,0.05954656502406747,0.10278240014868438,0.0784313753247261,0.01568627543747425,0.0,0.009714028896151904,0.08962580884919927,0.125490203499794,533.636979883306,166.84514884215508,0.0,538.0399018840794,169.66644816138378,0,453.0,116.0,0.0,1,1
3,1,43028,77506,441,380,155,109,302.2366133680394,227.8196755601004,9.063500015689375,0.5086800099451196,234.06185321590655,-62,0.5551570201016696,0.11033265275764877,268.3565651298291,331.6579563345345,93.86160024205851,27.485169750727277,21.93171219946131,264.6329907111997,231.0431034902443,-0.16379500518894066,2213.7495295549165,0.7380825771480523,193.70196387916803,9692.266918942332,0.12941177189350128,0.07058823853731155,11.109326491293903,0.12156862765550613,0.7686274647712708,0.0985760630428336,0.22525487865906693,0.1921568661928177,0.0941176488995552,0.062745101749897,0.0051433740939616605,0.1161775707546605,0.2862745225429535,301.42378520823075,216.7401247807237,0.0,302.2366133680394,227.8196755601004,0,227.0,239.0,0.0,1,1
4,1,133622,315400,936,627,272,152,617.5849485863106,364.70626094505394,35.47445895236411,0.798590060024409,412.47159229042904,-476,0.4236588459099556,0.028189295327740505,595.5725312635875,670.1440143730301,117.47765745025733,30.057904870023076,21.095023109728988,427.09234293324397,358.46041536042253,1.2523822770887054,7717.947252943333,0.6542401096748923,715.6941287065856,28808.73802018212,0.11764705926179886,0.0784313753247261,22.82302654647105,0.2078431397676468,1.0,0.09963721686016784,0.21559876382767898,0.18039216101169586,0.003921568859368563,0.0,0.012425431896998919,0.14246386395195504,0.29411765933036804,601.5043695436965,348.51041214373566,0.0,617.5849485863106,364.70626094505394,0,637.0,610.0,0.0,1,1
5,1,92454,327418,773,714,259,77,462.21219200899907,300.9753174551669,50.20251647016517,0.6109609245096184,343.0977832469116,-565,0.2823729911000617,0.019919320191733605,522.4051346787802,730.1951793869911,85.492689745966,20.335240313973888,13.45362404707371,474.51406183468004,413.5676425818213,-0.018229790614222675,7637.13606976129,0.3915833343921932,593.3843322405592,13275.729773032013,0.07450980693101883,0.06666666641831398,24.312056028963404,0.26274511218070984,1.0,0.08150883684623066,0.14359281126865267,0.11372549086809158,0.0,0.0,0.016211558156455395,0.11841364211509572,0.19607843458652496,486.51956817958956,301.45232065941764,0.0,462.21219200899907,300.9753174551669,0,491.0,343.0,0.0,1,1
6,1,231791,759342,1101,948,288,14,637.2251899340354,451.7699134133767,69.70540973752377,0.9133261678963666,543.2545143058712,-665,0.30525244224604986,0.0143460888296261,1021.3582526839679,1048.894656292995,94.79451460923254,18.588627941469305,13.601470508735444,486.2605295959547,415.9265150309469,0.5703662316599175,14249.067991334225,0.5884962043313784,713.4156962670386,26456.318354499526,0.06666667014360428,0.0313725508749485,9.168351946512345,0.26274511218070984,1.0,0.05532069605048376,0.11413867818206715,0.09019608050584793,0.0235294122248888,0.0,0.013519683515040298,0.08725798578035869,0.13725490868091583,637.083863419417,460.9371760490484,0.0,637.2251899340354,451.7699134133767,0,412.0,230.0,0.0,1,1
7,1,156379,491226,1148,601,314,12,729.872386957328,349.28410464320655,18.213566223153155,0.9552243979090682,446.2151126599591,-366,0.3183443058795748,0.054904129578357705,905.5518622885741,964.3552250078806,116.69190203266035,36.652166317377784,31.400636936215164,352.66377712853796,267.93678949140127,-1.0593578402664885,5982.623084239083,0.7315429020517762,137.9451006874442,9293.321833201684,0.03529411926865578,0.019607841968536377,20.59118772905739,0.1725490242242813,0.30588236451148987,0.02450179408302739,0.05942819581402672,0.05098039284348488,0.0235294122248888,0.0,0.0029108253067957287,0.034521199467282535,0.0784313753247261,712.0657238142281,359.6243057921907,0.0,729.872386957328,349.28410464320655,0,570.0,405.0,0.0,1,1
