ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_ATF6,Intensity_IntegratedIntensity_ATF6,Intensity_LowerQuartileIntensity_ATF6,Intensity_MADIntensity_ATF6,Intensity_MassDisplacement_ATF6,Intensity_MaxIntensityEdge_ATF6,Intensity_MaxIntensity_ATF6,Intensity_MeanIntensityEdge_ATF6,Intensity_MeanIntensity_ATF6,Intensity_MedianIntensity_ATF6,Intensity_MinIntensityEdge_ATF6,Intensity_MinIntensity_ATF6,Intensity_StdIntensityEdge_ATF6,Intensity_StdIntensity_ATF6,Intensity_UpperQuartileIntensity_ATF6,Location_CenterMassIntensity_X_ATF6,Location_CenterMassIntensity_Y_ATF6,Location_CenterMassIntensity_Z_ATF6,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_ATF6,Location_MaxIntensity_Y_ATF6,Location_MaxIntensity_Z_ATF6,Number_Object_Number,Parent_dapi_object
1,1,95622,314600,1043,867,438,347,758.2229194118509,602.8352680345528,43.93416161366851,0.9648307314184746,348.92651339023485,-502,0.30394787031150666,0.022761331120721477,706.8716338747661,722.8623658761051,85.0411665018772,24.460160284353282,17.69180601295413,201.4621267766898,185.8167215879096,-0.8710441802658169,7265.826365875662,0.7637844961859499,2525.9726009964943,56925.56198501587,0.43921568989753723,0.13725489377975464,7.844139820698219,0.8117647171020508,1.0,0.37267226335150405,0.595318671278742,0.5607843399047852,0.14509804546833038,0.14509804546833038,0.03717624789310683,0.19481732555711967,0.7215686440467834,759.6735675202093,595.1264322215146,0.0,758.2229194118509,602.8352680345528,0,952.0,445.0,0.0,1,1
2,1,64911,127160,511,346,71,57,279.13059419820985,207.2639922355225,42.42946505710162,0.8566343009554946,287.4843510320243,-473,0.5104671280276817,0.023568527169838198,411.92412814743966,448.33246592233314,93.94147114027967,24.042358651920093,16.1245154965971,235.2329182779283,212.52158407102692,1.190252088181066,5882.986611993874,0.8225432427295191,988.3372777476907,17873.67892588675,0.21568627655506134,0.050980404019355774,0.679994541134966,0.2823529541492462,1.0,0.1802548381812312,0.27535670265265905,0.2705882489681244,0.11764705926179886,0.10196078568696976,0.014379024498422474,0.07501573214042187,0.32156863808631897,279.80837838139473,207.3187752346897,0.0,279.13059419820985,207.2639922355225,0,275.0,162.0,0.0,1,1
3,1,64766,160080,537,523,102,155,300.3809869375907,351.4840348330914,55.179389590634436,0.860540256966761,287.1630762377321,-413,0.4045852073963018,0.018122708631226492,421.9942102724702,522.3456709880919,79.30952023559341,19.720084303479176,11.661903789690601,249.55586014972158,214.95643882068944,-0.8282368074417572,6701.42120756053,0.7461606700538025,830.141210719943,13636.961160957813,0.1568627506494522,0.04313725233078003,4.765899602455515,0.23137255012989044,1.0,0.13537854056098222,0.2105574091492112,0.19607843458652496,0.12156862765550613,0.07058823853731155,0.012963896904261052,0.07886367182525915,0.24313725531101227,304.37639257647464,348.88585608607264,0.0,300.3809869375907,351.4840348330914,0,313.0,431.0,0.0,1,1
4,1,95730,267436,903,937,422,381,630.0980570354121,668.0919774365402,164.5510593125307,0.9123043392138281,349.1235048195654,-1237,0.35795480040084354,0.006077141065987955,599.3834167834725,676.8042553057716,70.21395872616783,12.179879649635472,5.830951894845301,328.3525929023395,245.4552246688433,-0.6584224939093766,14069.520697395361,0.6303915500006585,2768.4745610281825,30095.569392267615,0.2235294133424759,0.06666667759418488,1.750114597799526,0.5882353186607361,1.0,0.2078590405457003,0.3143797074299343,0.2823529541492462,0.07450980693101883,0.03529411926865578,0.0301495131720979,0.12981099599695,0.364705890417099,631.8309528005026,668.3368720521661,0.0,630.0980570354121,668.0919774365402,0,538.0,737.0,0.0,1,1
5,1,40275,65025,476,344,187,119,328.31679702048416,235.36086902545003,31.115605115914537,0.6937943292699257,226.4502653215683,-285,0.6193771626297578,0.032138214772771206,277.7104767463546,311.3213773578679,73.43023900274328,20.25889428150176,14.0,216.8114977536818,199.99964091394534,1.195199681290837,3968.3670247538685,0.7668799268822118,1500.5725748687983,23625.45150654018,0.4470588266849518,0.11372551321983337,4.480149760214255,0.6039215922355652,1.0,0.39107963900672355,0.5866033893616431,0.545098066329956,0.2078431397676468,0.1764705926179886,0.034601965148582166,0.17888755728717817,0.6901960968971252,329.9253111463092,239.54230707724145,0.0,328.31679702048416,235.36086902545003,0,413.0,159.0,0.0,1,1
6,1,85629,163880,753,811,413,329,577.1609034322485,572.1741232526364,116.03430306563024,0.7837481736346573,330.1912006340073,-777,0.5225103734439834,0.008618141132233883,434.68784705089917,501.77385344395935,78.23042886243178,17.964731726075303,9.055385138137417,314.1883006126264,269.9753800052599,-0.3733018517825887,11173.997431136639,0.7426883846794338,3352.619721338153,40465.71864551678,0.3450980484485626,0.10196077823638916,4.327282532448794,0.6549019813537598,1.0,0.3195101230666304,0.47257025827134247,0.43529412150382996,0.1764705926179886,0.0313725508749485,0.03895648059551078,0.17398580276756084,0.5607843399047852,573.4050134086906,574.3232310318264,0.0,577.1609034322485,572.1741232526364,0,525.0,621.0,0.0,1,1
7,1,254557,880380,1661,1170,321,513,996.2246962369921,782.2129110572484,707.5193095502667,0.9426169515095046,569.3083863681869,-6286,0.28914446034666846,0.0014133889867057451,1224.3830395845184,1359.9889705435114,86.21484790916237,10.828712102144275,4.242640687119285,595.7910382015,408.7922938930965,-1.4567876909306179,47573.66418167624,0.5395397241227289,5699.49425175041,42576.94625958335,0.125490203499794,0.0313725546002388,4.394958543522052,0.4431372582912445,1.0,0.1186307187526103,0.16725898820139828,0.15294118225574493,0.054901961237192154,0.0,0.018630025544270012,0.06104964183461499,0.1921568661928177,993.9452279974876,778.4552941070568,0.0,996.2246962369921,782.2129110572484,0,1087.0,659.0,0.0,1,1
