ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Sortilin,Intensity_IntegratedIntensity_Sortilin,Intensity_LowerQuartileIntensity_Sortilin,Intensity_MADIntensity_Sortilin,Intensity_MassDisplacement_Sortilin,Intensity_MaxIntensityEdge_Sortilin,Intensity_MaxIntensity_Sortilin,Intensity_MeanIntensityEdge_Sortilin,Intensity_MeanIntensity_Sortilin,Intensity_MedianIntensity_Sortilin,Intensity_MinIntensityEdge_Sortilin,Intensity_MinIntensity_Sortilin,Intensity_StdIntensityEdge_Sortilin,Intensity_StdIntensity_Sortilin,Intensity_UpperQuartileIntensity_Sortilin,Location_CenterMassIntensity_X_Sortilin,Location_CenterMassIntensity_Y_Sortilin,Location_CenterMassIntensity_Z_Sortilin,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Sortilin,Location_MaxIntensity_Y_Sortilin,Location_MaxIntensity_Z_Sortilin,Number_Object_Number,Parent_dapi_object
1,1,178156,604736,1214,942,355,238,773.9590302880622,614.726610386403,440.05540785335216,0.9641462813445283,476.2722586208834,-4321,0.2946012805587893,0.0022724411111730925,990.5544064664392,1013.0296145720519,88.48163651289458,16.267413482739805,6.082762530298219,324.6119547537035,262.8647503289745,-0.9186827732246513,31387.652793335263,0.6631083716706121,1889.7098541408777,19187.10248441063,0.06666667014360428,0.0313725471496582,6.043642034051064,0.41960784792900085,1.0,0.05884013744366913,0.10769832329200604,0.0941176488995552,0.0313725508749485,0.0117647061124444,0.017483608364928793,0.05724254307648729,0.13333334028720856,768.9542844627864,611.3386717417204,0.0,773.9590302880622,614.726610386403,0,682.0,772.0,0.0,1,1
2,1,89586,193200,586,390,26,45,278.9207911950528,215.8740986314826,128.69132087077034,0.8742050598695387,337.73427106920064,-1237,0.46369565217391306,0.007770531790595133,505.1902246606693,575.8419922166149,95.75489543621255,22.193294229851894,12.0,275.14377104454934,245.29860468240724,1.1907994844914915,12036.483758531402,0.7911371724789601,617.5451117809862,8864.608087027445,0.062745101749897,0.027450978755950928,5.375299322452692,0.10588235408067703,0.6941176652908325,0.05186403895028019,0.09895081917964242,0.09019608050584793,0.019607843831181526,0.019607843831181526,0.008312608893658896,0.04665140806196662,0.12156862765550613,275.3563175817113,211.85062119700473,0.0,278.9207911950528,215.8740986314826,0,240.0,209.0,0.0,1,1
3,1,70557,147060,473,562,93,175,296.1520756267982,362.84705982397213,106.29031320373116,0.7757485131286066,299.7264795740925,-943,0.47978376172990617,0.009408195063676758,397.58943823650094,452.91941888154895,81.93289937503738,16.841051305528957,9.055385138137417,316.39852491778095,250.89570945350994,-0.7705379283271905,9707.822540731055,0.7298823821493964,511.13334525190294,6876.709993772674,0.062745101749897,0.02352941408753395,3.8698282021418198,0.21960784494876862,1.0,0.053226423539717065,0.09746318570478725,0.08235294371843338,0.027450980618596077,0.003921568859368563,0.009913503449498741,0.06255627311020358,0.11372549086809158,299.9901628721889,363.34168757376136,0.0,296.1520756267982,362.84705982397213,0,279.0,352.0,0.0,1,1
4,1,231671,1181640,1151,1295,235,5,608.3105956291465,663.0893076820146,1554.754563583514,0.930089927879477,543.1138725611231,-8967,0.19605886733692157,0.0006431883355885611,1167.729494020157,1509.9433764217783,74.73285756613352,7.441027435202998,2.23606797749979,548.876117762281,428.94429579004753,-0.6073364801141775,67277.78563794214,0.43582980756749434,4943.780527666211,26251.02815901069,0.06666667014360428,0.0313725471496582,12.23402806896165,1.0,1.0,0.06999547681815392,0.11331167111555046,0.0941176488995552,0.0313725508749485,0.0,0.02139528001236519,0.07498316859805677,0.13333334028720856,614.7158539570374,673.5125561461512,0.0,608.3105956291465,663.0893076820146,0,548.0,641.0,0.0,1,1
5,1,88344,156065,577,417,122,74,355.1766390473603,239.23008919677625,309.7010305416518,0.7318971426604873,335.38496439179147,-2229,0.56607182904559,0.003228920479376673,423.0950682557096,468.436762007424,75.58438992278762,13.1323438830921,4.123105625617661,305.70461238025183,288.3033788182029,1.3351617720338922,18542.35052947813,0.7371952135382767,3125.2589189335704,23987.60846582055,0.1764705926179886,0.0627450942993164,5.47290841873853,0.5098039507865906,1.0,0.16711720864839155,0.27152504375872216,0.22745098173618317,0.11764705926179886,0.09019608050584793,0.02614908737033329,0.13370619963007696,0.32549020648002625,349.9300012835815,237.6726814994828,0.0,355.1766390473603,239.23008919677625,0,367.0,274.0,0.0,1,1
6,1,112341,322998,908,895,375,289,590.1816166849147,576.981075475561,308.18646289135023,0.8262988481362606,378.2023316891276,-1410,0.3478071071647503,0.0032447888548321657,577.2263810442934,693.319551145069,90.13878188659973,16.48472806629702,5.656854249492381,366.0037857086337,325.11233202303356,-0.576036588706432,20858.39338552775,0.5918758726060958,2155.713771859184,21219.824078423437,0.11372549086809158,0.0470588281750679,18.44346025556971,0.5333333611488342,1.0,0.10736161023254066,0.1888876196439718,0.15294118225574493,0.0235294122248888,0.0,0.02039555394040957,0.12095770934048648,0.2235294133424759,574.1096429616314,586.0283340015936,0.0,590.1816166849147,576.981075475561,0,523.0,621.0,0.0,1,1
7,1,413930,1589852,1814,1260,243,248,1017.4451066605465,773.8017297610708,2107.59523152015,0.9007835472058826,725.9697271596287,-9010,0.26035756787424236,0.00047447440810478956,1374.4124459893635,1631.7628504166896,98.95453501482385,8.904649082496778,3.0,933.2905121721196,596.8638271512897,-1.3632442317128055,104703.68997853497,0.4384591592024202,4815.306020679884,34023.58134812815,0.05098039284348488,0.02352941408753395,18.537408660327994,0.6196078658103943,1.0,0.047223234715255455,0.08219646159526527,0.07058823853731155,0.0,0.0,0.012222225940536862,0.049315952398455466,0.09803921729326248,1001.1347860283846,782.6113245710537,0.0,1017.4451066605465,773.8017297610708,0,670.0,821.0,0.0,1,1
