ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Sortilin,Intensity_IntegratedIntensity_Sortilin,Intensity_LowerQuartileIntensity_Sortilin,Intensity_MADIntensity_Sortilin,Intensity_MassDisplacement_Sortilin,Intensity_MaxIntensityEdge_Sortilin,Intensity_MaxIntensity_Sortilin,Intensity_MeanIntensityEdge_Sortilin,Intensity_MeanIntensity_Sortilin,Intensity_MedianIntensity_Sortilin,Intensity_MinIntensityEdge_Sortilin,Intensity_MinIntensity_Sortilin,Intensity_StdIntensityEdge_Sortilin,Intensity_StdIntensity_Sortilin,Intensity_UpperQuartileIntensity_Sortilin,Location_CenterMassIntensity_X_Sortilin,Location_CenterMassIntensity_Y_Sortilin,Location_CenterMassIntensity_Z_Sortilin,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Sortilin,Location_MaxIntensity_Y_Sortilin,Location_MaxIntensity_Z_Sortilin,Number_Object_Number,Parent_dapi_object
1,1,61584,158517,669,428,156,119,429.1328591842037,277.9632209664848,22.22124137257201,0.9595414987403168,280.01997093594997,-60,0.3885009178826246,0.045001986308213816,597.7136490518443,548.7039274508612,61.98386886924694,15.936967470335661,11.40175425099138,217.7720906631327,168.29658412324673,-1.1986789314898207,4146.894982708976,0.6269112527230898,428.6745175868273,16176.46705750376,0.1568627506494522,0.0627450942993164,46.153506312583936,0.18039216101169586,1.0,0.12021158653584613,0.2626732115079202,0.2078431397676468,0.11372549086809158,0.11372549086809158,0.0070701617841877834,0.16773495490405427,0.3137255012989044,470.779114113977,258.07011675245985,0.0,429.1328591842037,277.9632209664848,0,609.0,186.0,0.0,1,1
2,1,35704,70473,745,234,328,65,546.087721263724,157.8616401523639,9.213137584232173,0.9235657381324537,213.21290933061312,-35,0.506633746257432,0.10854065630273993,365.05352349855633,416.01923032475315,55.54277630799526,16.124600487779603,12.529964086141668,152.43303150634645,139.97616767653787,1.3496768240072448,2033.1393564996501,0.7979260716041657,366.5294172540307,17154.97297207266,0.3137255012989044,0.13725492358207703,8.999101298748142,0.32549020648002625,1.0,0.20837374488574797,0.4804776207728171,0.4588235318660736,0.11372549086809158,0.11372549086809158,0.021431599008218838,0.20618890154978695,0.5882353186607361,555.0188619729505,158.965519591944,0.0,546.087721263724,157.8616401523639,0,627.0,174.0,0.0,1,1
3,1,31165,45365,400,338,185,127,300.27238889780205,225.20439595700304,5.051362770293651,0.3849044674290875,199.19967472782517,-60,0.6869833572137111,0.19796637966309968,210.7723796089509,244.24782496472716,83.00602387778854,26.743632463530737,22.825424421026653,204.6120588753849,194.5337206600092,0.4135569387335774,1406.5098474606275,0.8761104239289329,186.00785091519356,10321.266925096512,0.21960784494876862,0.09803920984268188,1.7565966095652095,0.20000000298023224,0.9137254953384399,0.14680966923061844,0.3311813548883848,0.3176470696926117,0.11764705926179886,0.09803921729326248,0.009229260131828124,0.1390116308998312,0.4117647111415863,300.4645743980587,223.45834430191746,0.0,300.27238889780205,225.20439595700304,0,276.0,180.0,0.0,1,1
4,1,88538,238464,851,582,275,168,598.0568795319524,376.20579864013195,17.732809671908786,0.8904452900021897,335.7530086414146,-132,0.37128455448201825,0.05639264270591805,557.171413239912,621.9019215278242,91.2414379544733,25.83765938960973,20.8806130178211,344.6446324265054,253.56330827105188,0.8955120365565545,4441.795523666115,0.630590078700901,704.7255066111684,37320.275458708405,0.2705882489681244,0.1294117569923401,26.175988624067692,0.27843138575553894,1.0,0.18019061790109137,0.42151703741566793,0.3803921639919281,0.10980392247438431,0.10980392247438431,0.014356293296230274,0.19262038875322948,0.5411764979362488,613.9521151861255,397.0030067206803,0.0,598.0568795319524,376.20579864013195,0,697.0,470.0,0.0,1,1
5,1,76510,159530,694,480,264,109,429.0066396549471,277.92444124950987,14.935561928488339,0.7355687842048585,312.1146545224804,-128,0.47959631417288284,0.06695429370438238,423.5385979309008,540.8558033339385,105.84894897919393,28.44603693040491,20.248456731316587,330.07417586362675,286.92624230032476,-0.7418914817600122,3789.4380925657338,0.6827957948846092,785.023537889123,41107.134214267135,0.3450980484485626,0.16862744092941284,5.7721560220467705,0.30588236451148987,1.0,0.23280650589831642,0.5372779272548311,0.49803921580314636,0.21960784494876862,0.21960784494876862,0.011766674268932745,0.22827499187088782,0.6901960968971252,428.3520119106158,272.18952645858207,0.0,429.0066396549471,277.92444124950987,0,429.0,247.0,0.0,1,1
6,1,180883,760365,1081,933,250,18,641.4173747671147,483.18160357800343,86.2502508626783,0.8835158097876136,479.90352006453384,-1205,0.23788969771096777,0.011594169176297598,888.5624270078617,985.056851151242,121.69634341261039,24.767404755927195,15.652475842498529,496.15819306029465,416.20383010077904,0.6362337097524313,14001.803922622297,0.5064027189858675,913.1412094607949,24813.800686091185,0.09019608050584793,0.035294122993946075,4.831536657704196,0.34117648005485535,0.6039215922355652,0.06728125622316497,0.13718149680230415,0.125490203499794,0.03921568766236305,0.03921568766236305,0.011216804413029314,0.06250144468125907,0.16470588743686676,639.6617925499958,478.68030625904356,0.0,641.4173747671147,483.18160357800343,0,665.0,363.0,0.0,1,1
7,1,52895,151249,882,515,355,228,649.1532659041497,385.194819926269,25.89173281803641,0.9110794156309466,259.514943151192,-139,0.3497213204715403,0.03862236672330371,445.4861110508645,577.4296493946254,89.69392398596462,23.785829321962396,16.76305461424021,202.61288421955368,183.64313157979066,-1.1841354756238063,4148.516303052536,0.669675638720786,731.7215800881386,22123.776967674494,0.24313725531101227,0.12156862020492554,8.406142461628761,0.26274511218070984,1.0,0.1980301975881295,0.41825837919792974,0.34117648005485535,0.18039216101169586,0.18039216101169586,0.009850081635036242,0.2200439095548304,0.529411792755127,654.996460755305,379.1516167179836,0.0,649.1532659041497,385.194819926269,0,701.0,350.0,0.0,1,1
