ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_ATF6,Intensity_IntegratedIntensity_ATF6,Intensity_LowerQuartileIntensity_ATF6,Intensity_MADIntensity_ATF6,Intensity_MassDisplacement_ATF6,Intensity_MaxIntensityEdge_ATF6,Intensity_MaxIntensity_ATF6,Intensity_MeanIntensityEdge_ATF6,Intensity_MeanIntensity_ATF6,Intensity_MedianIntensity_ATF6,Intensity_MinIntensityEdge_ATF6,Intensity_MinIntensity_ATF6,Intensity_StdIntensityEdge_ATF6,Intensity_StdIntensity_ATF6,Intensity_UpperQuartileIntensity_ATF6,Location_CenterMassIntensity_X_ATF6,Location_CenterMassIntensity_Y_ATF6,Location_CenterMassIntensity_Z_ATF6,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_ATF6,Location_MaxIntensity_Y_ATF6,Location_MaxIntensity_Z_ATF6,Number_Object_Number,Parent_dapi_object
1,1,72077,173340,659,454,119,133,386.8127419287706,293.9897748241464,258.32570537479336,0.9609088591205385,302.9377603830139,-2058,0.4158128533517942,0.003871082045625867,636.7654602615119,588.8327436547665,53.31041174104736,8.803772407607598,4.0,215.40810178405644,176.29799583252122,-1.2012201351217884,15296.324737902467,0.6845439349618204,1050.537285482511,5785.996240339708,0.054901961237192154,0.019607845693826675,32.93134890469988,0.364705890417099,1.0,0.06709268651695689,0.08027520901729689,0.07450980693101883,0.0,0.0,0.01637697276643341,0.04219260315929086,0.09803921729326248,356.0827109031303,305.8278039610536,0.0,386.8127419287706,293.9897748241464,0,439.0,311.0,0.0,1,1
2,1,53496,114654,846,244,255,50,547.1384402572155,158.56531329445193,103.6328985568578,0.9279446134100817,260.98510050413273,-1023,0.4665864252446491,0.009649445436010397,468.7258468491638,591.0372238700368,69.40461079784254,15.55979231504311,8.0,186.76616216100084,174.70261484021728,1.4855683939422695,8346.692418947394,0.7175566375598568,377.5921677062288,3270.5726429885253,0.04313725605607033,0.0156862735748291,6.536376982843061,0.10588235408067703,0.29411765933036804,0.04446969352328687,0.06113676990781601,0.054901961237192154,0.007843137718737125,0.0,0.00905701737883047,0.02529323482873101,0.07450980693101883,545.1338339718337,152.34391652986213,0.0,547.1384402572155,158.56531329445193,0,525.0,140.0,0.0,1,1
3,1,26147,41410,410,334,208,129,312.68879795005165,226.11381802883696,4.541806206743271,0.5552823664605782,182.45929512137852,-47,0.6314175319971022,0.22017672143635034,204.99880797652284,213.21585306913744,55.731499172371095,19.76742918148708,18.35755975068582,177.6684614437262,170.48969537708416,-0.620860661076332,1221.6032098490791,0.9119031841802393,114.91764863207936,3713.074609780684,0.10196078568696976,0.039215683937072754,8.945364200278663,0.14901961386203766,0.8274509906768799,0.10437570266310568,0.14200767238232623,0.13725490868091583,0.03921568766236305,0.019607843831181526,0.010873426864501434,0.058427990973124976,0.1764705926179886,310.7363287266932,217.38413277635132,0.0,312.68879795005165,226.11381802883696,0,334.0,140.0,0.0,1,1
4,1,92562,317520,949,653,319,149,625.7218945139474,378.076564897042,312.05597585275757,0.786121367828484,343.2981193362063,-1949,0.29151549508692365,0.003204553276915441,561.1601818101077,651.4291979946861,68.06614430096654,10.423488738289775,4.123105625617661,425.64240201516236,346.83748571205206,0.8591717116866991,19051.86734014495,0.4938114850301957,1643.0627918313257,10416.07479656674,0.0784313753247261,0.027450986206531525,25.41149686986458,0.40784314274787903,0.800000011920929,0.08666857220336141,0.11253078797526782,0.10196078568696976,0.0,0.0,0.016197802780760145,0.05884571318884205,0.13725490868091583,608.0448966720363,359.82093780662933,0.0,625.7218945139474,378.076564897042,0,634.0,569.0,0.0,1,1
5,1,91513,220324,712,527,218,81,440.7190672363489,279.76274409100347,85.22323015919558,0.5907766283841392,341.3472871685799,-1021,0.41535647500953143,0.011733889904571988,452.4709350240246,538.3428275736568,88.20430828479978,16.412646122928177,8.246211251235321,421.80561280102773,365.06945923943175,-0.5279225067102883,9899.774992985052,0.5951832774005568,1376.0000576395541,17122.239693369716,0.12941177189350128,0.054901957511901855,10.88303678742978,0.2862745225429535,0.9960784316062927,0.14579360644623376,0.1871017199017595,0.1725490242242813,0.01568627543747425,0.0,0.020395254861396154,0.0971096525312566,0.23529411852359772,451.24367705592516,276.99271198609404,0.0,440.7190672363489,279.76274409100347,0,458.0,460.0,0.0,1,1
6,1,137280,349735,910,677,291,112,574.892111013986,437.74551282051283,381.16571587324535,0.8054911242878386,418.0793282395617,-3515,0.39252576951120133,0.0026235308118124265,615.5725792297471,703.1820532408375,80.99382692526635,14.11228086534866,5.385164807134504,412.5337643957764,364.7931348079559,0.9841378974828051,25642.80222031071,0.6660811932013916,1222.337284677662,8419.086508471053,0.04313725605607033,0.011764708906412125,18.247157370743697,0.15294118225574493,0.40784314274787903,0.046393793778330056,0.06132784461298844,0.054901961237192154,0.007843137718737125,0.0,0.007358659816248203,0.030771113222771557,0.07450980693101883,556.6484076837658,437.39049041051953,0.0,574.892111013986,437.74551282051283,0,332.0,344.0,0.0,1,1
7,1,79126,198090,907,548,349,193,615.3666683517428,400.394712231125,123.28284244488488,0.9258872522873532,317.4056587660568,-1452,0.3994446968549649,0.008111428810112505,541.1357005270523,630.6322224561634,76.48529270389177,17.53736170100764,9.433981132056603,233.61579984991408,204.4410361848545,-1.1401548080394526,11071.73945907912,0.7479534927686927,1136.8823777101934,9753.47084242059,0.08235294371843338,0.039215683937072754,20.137955239740606,0.2705882489681244,0.5411764979362488,0.09981408057157097,0.1232650562700072,0.11372549086809158,0.0,0.0,0.01755509844209761,0.06248530465748357,0.16078431904315948,599.3719412231935,412.6301503238558,0.0,615.3666683517428,400.394712231125,0,549.0,418.0,0.0,1,1
