ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_GOLPH4,Intensity_IntegratedIntensity_GOLPH4,Intensity_LowerQuartileIntensity_GOLPH4,Intensity_MADIntensity_GOLPH4,Intensity_MassDisplacement_GOLPH4,Intensity_MaxIntensityEdge_GOLPH4,Intensity_MaxIntensity_GOLPH4,Intensity_MeanIntensityEdge_GOLPH4,Intensity_MeanIntensity_GOLPH4,Intensity_MedianIntensity_GOLPH4,Intensity_MinIntensityEdge_GOLPH4,Intensity_MinIntensity_GOLPH4,Intensity_StdIntensityEdge_GOLPH4,Intensity_StdIntensity_GOLPH4,Intensity_UpperQuartileIntensity_GOLPH4,Location_CenterMassIntensity_X_GOLPH4,Location_CenterMassIntensity_Y_GOLPH4,Location_CenterMassIntensity_Z_GOLPH4,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_GOLPH4,Location_MaxIntensity_Y_GOLPH4,Location_MaxIntensity_Z_GOLPH4,Number_Object_Number,Parent_dapi_object
1,1,73537,178555,655,452,122,117,387.73422902756437,293.09437426057633,91.29879304982553,0.9591479079880572,305.99054952921284,-899,0.41184508974825684,0.010953047314155166,622.3679334664126,598.0209026447153,54.12947441089743,11.191319070396228,7.0710678118654755,212.0430331104244,176.0710569500506,-1.1914651581142457,9185.237800313955,0.7156955298835025,514.1058947155252,5598.431528635789,0.054901961237192154,0.019607845693826675,23.21772062399425,0.10980392247438431,0.4431372582912445,0.05820286366076364,0.07613081208963908,0.07450980693101883,0.0,0.0,0.008564361183542871,0.03351730923342111,0.0941176488995552,366.36077124983666,302.16288315661535,0.0,387.73422902756437,293.09437426057633,0,442.0,308.0,0.0,1,1
2,1,44528,95940,774,248,282,53,545.2126527128997,166.38955264103487,209.04738849646012,0.918401992923323,238.10672071146445,-1376,0.4641234104648739,0.004783604364504814,419.1114777773052,491.06516879127156,58.69412236331676,11.611776668280083,4.0,188.93409918642303,165.8208507364601,1.4744691404154966,10815.432713786322,0.700081755864411,353.46667711343616,1731.9569145059213,0.027450980618596077,0.0078431386500597,2.068657508899551,0.22745098173618317,0.2666666805744171,0.03106580041425876,0.038895906272590756,0.03529411926865578,0.0,0.0,0.008150116515101538,0.018178407845077682,0.0470588244497776,545.9721679499099,164.4653695692156,0.0,545.2126527128997,166.38955264103487,0,454.0,105.0,0.0,1,1
3,1,29841,48614,420,339,197,121,310.71431922522703,226.37053047820115,3.858117541789802,0.610274914542398,194.92239803173464,-46,0.6138355206319167,0.25919376202729544,223.9323730943624,233.5551326774901,74.32361670424818,24.611531264838423,21.18962010041709,189.85580050401666,177.39692057765527,-0.6279490319447439,1202.8164132846757,0.9099807885829293,149.4274579063058,5835.23544145748,0.14901961386203766,0.04313725233078003,6.337548320073037,0.1882352977991104,0.6980392336845398,0.13939128536035988,0.19554423248073055,0.1921568661928177,0.09019608050584793,0.0470588244497776,0.011181943865534295,0.06541336045909703,0.23529411852359772,312.6432511766308,220.3336653781584,0.0,310.71431922522703,226.37053047820115,0,340.0,327.0,0.0,1,1
4,1,86267,287574,959,677,385,176,612.6213499947836,389.893470272526,225.09445351883045,0.7351826945789356,331.4190033864508,-1650,0.29998191769770566,0.004442579478824627,517.1040476607741,576.7122332671642,68.00735254367721,10.839560162389626,5.0990195135927845,454.71878887932286,350.528813002074,0.8350189536953642,15621.03036538724,0.4803472295690812,658.5137457810342,4363.600127894897,0.03529411926865578,0.0156862773001194,31.74816109849529,0.22745098173618317,0.6392157077789307,0.0419088490919006,0.05058249536781037,0.0470588244497776,0.0,0.0,0.008910570564644565,0.029714453036210255,0.06666667014360428,589.5087516059594,368.12759034882583,0.0,612.6213499947836,389.893470272526,0,643.0,562.0,0.0,1,1
5,1,50304,124030,597,521,283,126,421.5646867048346,296.04053355597966,72.33997585369032,0.8533701324024576,253.07912213052586,-694,0.40557929533177456,0.01382361534129523,396.7049309080765,429.97906925802795,80.62257748298549,17.455957164101047,8.06225774829855,238.3783594034374,206.80445961735748,-0.4599600696947526,6762.314605842731,0.6675867926531479,395.6588346315548,2899.368710384704,0.01568627543747425,0.0313725508749485,29.04053465792167,0.24705882370471954,1.0,0.05981237107052982,0.05763694160274937,0.05098039284348488,0.0,0.0,0.013927735888861835,0.06499947000709208,0.0784313753247261,425.67853991998624,324.7882093740721,0.0,421.5646867048346,296.04053355597966,0,334.0,414.0,0.0,1,1
6,1,127784,344617,914,688,277,147,581.767420021286,446.9538752895511,226.90762477077533,0.828503901915108,403.36043681109584,-1494,0.37080004758906265,0.0044070797577217226,657.577717345198,714.7027354082255,72.56031973468694,10.705453392478104,5.0990195135927845,404.07593365116054,368.2325332562856,0.9818378911799679,19088.320405143582,0.613381846808143,1405.1333830384538,13726.819986068178,0.0784313753247261,0.023529410362243652,14.94401318441355,0.1921568661928177,1.0,0.07831095040062719,0.1074220558604221,0.09803921729326248,0.007843137718737125,0.0,0.00877695751281253,0.06691838912746048,0.12941177189350128,567.1968634950917,450.27387718306045,0.0,581.767420021286,446.9538752895511,0,416.0,399.0,0.0,1,1
7,1,89119,220934,937,560,335,193,620.3381658232252,404.123262155096,149.8926262754426,0.9336462849306287,336.85283876977047,-1396,0.40337385825631183,0.00667144225068417,597.2892894900408,670.5356068099591,67.23094525588644,13.406354589084993,6.324555320336759,242.13008649210346,213.94683462001626,-1.141780776930184,12956.276831218966,0.7485657648274298,693.8000148972496,6455.780572464224,0.0470588244497776,0.019607845693826675,24.106350505170948,0.12156862765550613,1.0,0.05486753775383548,0.07244000238405081,0.06666667014360428,0.0,0.0,0.008391938973026147,0.0430902741952998,0.09019608050584793,600.1669317568559,417.32316559860266,0.0,620.3381658232252,404.123262155096,0,579.0,442.0,0.0,1,1
