ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_atf6_objects_Count,Children_bt_objects_Count,Children_cona_objects_Count,Children_g4_objects_Count,Children_hsp60_objects_Count,Children_ph_objects_Count,Children_sor_objects_Count,Children_t20_objects_Count,Children_wga_objects_Count,Intensity_IntegratedIntensityEdge_DAPI,Intensity_IntegratedIntensity_DAPI,Intensity_LowerQuartileIntensity_DAPI,Intensity_MADIntensity_DAPI,Intensity_MassDisplacement_DAPI,Intensity_MaxIntensityEdge_DAPI,Intensity_MaxIntensity_DAPI,Intensity_MeanIntensityEdge_DAPI,Intensity_MeanIntensity_DAPI,Intensity_MedianIntensity_DAPI,Intensity_MinIntensityEdge_DAPI,Intensity_MinIntensity_DAPI,Intensity_StdIntensityEdge_DAPI,Intensity_StdIntensity_DAPI,Intensity_UpperQuartileIntensity_DAPI,Location_CenterMassIntensity_X_DAPI,Location_CenterMassIntensity_Y_DAPI,Location_CenterMassIntensity_Z_DAPI,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_DAPI,Location_MaxIntensity_Y_DAPI,Location_MaxIntensity_Z_DAPI,Number_Object_Number
1,1,25724,37278,913,681,695,510,804.6585678743586,597.5087078214897,1.2763853854698641,0.8202202742487708,180.97738546229286,1,0.6900584795321637,0.7834624333557996,239.54197758230603,235.71593073019056,66.64082832618455,26.728471646023934,24.351591323771842,134.66902102165122,137.0294646809734,-1.0488283136358718,642.3401871576773,0.9866523473458116,1,1,1,1,1,1,1,1,1,116.73725615441799,12631.78854753077,0.37254902720451355,0.10588234663009644,5.655030337008205,0.26274511218070984,1.0,0.21419680028333576,0.49105071324563715,0.4627451002597809,0.16862745583057404,0.16862745583057404,0.01503822109948844,0.16379422251763792,0.6000000238418579,799.2108384407138,595.9916013221682,0.0,804.6585678743586,597.5087078214897,0,778.0,600.0,0.0,1
2,1,23470,34740,370,273,190,80,279.23915636983384,174.92407328504473,1.2097000766376367,0.7783751208545105,172.86680454886147,1,0.6755900978698907,0.8266511834730983,218.47654768501985,215.44836968517538,67.00746227100382,26.327766986157762,24.0,133.79853952987628,137.15946027030452,0.6691743040138189,597.3107499061545,0.9882105263157894,1,1,1,1,1,1,1,1,1,161.62353453040123,17513.59243503213,0.6352941393852234,0.12156862020492554,3.642249069213771,0.4117647111415863,1.0,0.32651219097050754,0.7462118634440618,0.7686274647712708,0.27843138575553894,0.27843138575553894,0.019508068873617557,0.17684451947831045,0.8784313797950745,279.5770399900946,171.29753044904402,0.0,279.23915636983384,174.92407328504473,0,315.0,134.0,0.0,1
3,1,24846,37620,408,430,199,250,308.4989133059647,342.76491185703935,1.2566430700973874,0.7773654910422636,177.86205252523612,1,0.6604465709728867,0.7957709104483439,224.92085800172282,229.1047795223836,69.77105417004964,26.92469588577611,24.166091947189145,140.19465232504606,141.48628530945254,-0.9228251700908207,626.38181771802,0.9842338773569957,1,1,1,1,1,1,1,1,1,149.28628090023994,16225.365122109652,0.5686274766921997,0.08627450466156006,2.4255153906973126,0.3686274588108063,1.0,0.2859890438701915,0.6530373147432043,0.658823549747467,0.23529411852359772,0.23529411852359772,0.021789279346057098,0.14319745790671715,0.7411764860153198,306.08488615192744,342.5291199782984,0.0,308.4989133059647,342.76491185703935,0,300.0,326.0,0.0,1
4,1,23510,34038,762,730,576,547,668.4923862186304,637.2010633772862,1.198995488108675,0.7711906029629801,173.014050576026,1,0.6906986309418884,0.8340314954624429,217.1054780832719,213.5883891975404,67.89698078707183,26.60400029462366,24.08318915758459,135.6963140810111,138.21028416220767,-0.8212843379898196,595.1686142824235,0.9911049281227604,1,1,1,1,1,1,1,1,1,205.0745129287243,22190.152991861105,1.0,0.0,0.5630702669314828,0.5372549295425415,1.0,0.41262477450447543,0.9438601868082137,1.0,0.33725491166114807,0.33725491166114807,0.03534497319885931,0.140738404153628,1.0,668.0817272901286,637.5863001485634,0.0,668.4923862186304,637.2010633772862,0,688.0,637.0,0.0,1
5,1,19394,27816,413,291,230,139,316.3806847478602,217.6616994946891,1.2397342931728683,0.7972612293364968,157.14072588159235,1,0.69722461892436,0.8066244561491372,202.73442273599295,203.66639388961548,62.12889826803627,23.714673853229108,21.470910553583888,124.16497564317639,122.37747890450163,0.9616698286535963,549.6711395993652,0.9900959771288544,1,1,1,1,1,1,1,1,1,181.72157168388367,17260.87852808833,0.8156862854957581,0.0,1.9432621057976522,0.48235294222831726,1.0,0.3899604542572611,0.8900112678193426,1.0,0.3137255012989044,0.3137255012989044,0.02487844648469594,0.16187865487681566,1.0,317.496267804488,219.25284438299877,0.0,316.3806847478602,217.6616994946891,0,352.0,219.0,0.0,1
6,1,26163,34720,695,646,540,422,616.9647976149524,532.2653747658908,1.2685761170968857,0.8026371063296689,182.5151122754115,1,0.7535426267281106,0.7882853748567193,236.90653953528945,235.73289969794203,70.21395872616783,27.08215332314364,24.698178070456937,142.03503793078664,141.30709049006666,-0.3449625671099402,645.8132752230961,0.9821314613911933,1,1,1,1,1,1,1,1,1,196.14118140935898,21130.415932625532,0.6980392336845398,0.14117646217346191,2.538038221179993,0.45490196347236633,1.0,0.3515074935651595,0.80764499226486,0.8392156958580017,0.27843138575553894,0.27843138575553894,0.027535894727978558,0.17532702168363712,0.9764705896377563,616.8887497359908,529.7284761214282,0.0,616.9647976149524,532.2653747658908,0,591.0,535.0,0.0,1
7,1,35329,53502,1273,877,1051,636,1161.1693226527782,754.2259050638286,1.2611553118937886,0.8122994774434658,212.09026351048877,1,0.6603304549362641,0.7929237506032226,278.45993671540396,272.05881717011124,80.44874144447506,31.54444726899277,28.844410203711913,161.57600511791426,162.40913136488152,-0.6968848492985589,748.2640687119285,0.9900515637260396,1,1,1,1,1,1,1,1,1,89.29412151873112,11843.553235679865,0.27843138575553894,0.05882352590560913,2.6998121709296754,0.1764705926179886,0.7647058963775635,0.14309955371591526,0.33523601674771053,0.33725491166114807,0.10196078568696976,0.10196078568696976,0.01002508479475755,0.08782783761655746,0.3921568691730499,1162.2815163198773,751.7658215276118,0.0,1161.1693226527782,754.2259050638286,0,1172.0,695.0,0.0,1
