ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_HSP60,Intensity_IntegratedIntensity_HSP60,Intensity_LowerQuartileIntensity_HSP60,Intensity_MADIntensity_HSP60,Intensity_MassDisplacement_HSP60,Intensity_MaxIntensityEdge_HSP60,Intensity_MaxIntensity_HSP60,Intensity_MeanIntensityEdge_HSP60,Intensity_MeanIntensity_HSP60,Intensity_MedianIntensity_HSP60,Intensity_MinIntensityEdge_HSP60,Intensity_MinIntensity_HSP60,Intensity_StdIntensityEdge_HSP60,Intensity_StdIntensity_HSP60,Intensity_UpperQuartileIntensity_HSP60,Location_CenterMassIntensity_X_HSP60,Location_CenterMassIntensity_Y_HSP60,Location_CenterMassIntensity_Z_HSP60,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_HSP60,Location_MaxIntensity_Y_HSP60,Location_MaxIntensity_Z_HSP60,Number_Object_Number,Parent_dapi_object
1,1,247370,1329001,1446,1074,113,77,809.994833649998,580.0017908396329,33.62161594335493,0.9861832148198186,561.2141001268029,-268,0.18613229034440154,0.029742770296489654,1671.1452668887116,1643.6523355016413,97.29337079164233,26.077668552185028,19.1049731745428,362.31286392843435,276.8390559656243,-0.9421419815313054,10223.220735840001,0.5374804449852251,1146.0353368222713,74520.78228597995,0.16862745583057404,0.0941176563501358,8.531608652024927,0.6941176652908325,1.0,0.12875354868242572,0.3012523033754293,0.250980406999588,0.05882352963089943,0.0117647061124444,0.020391319101395165,0.18782890252855272,0.3764705955982208,809.7116326131523,571.4748838175037,0.0,809.994833649998,580.0017908396329,0,655.0,606.0,0.0,1,1
2,1,125875,423225,859,513,34,0,357.3550188679245,247.17512611717973,42.43843791124802,0.9544973540126637,400.33614337646134,-272,0.29741863075196406,0.023563544023258137,854.7773463400878,921.5883028771578,107.0420478129973,25.995137653045223,13.92838827718412,317.78510679553074,254.9111739542521,1.0951715185549982,8193.215326268619,0.5740063477007825,849.7255016118288,30795.189067162573,0.1411764770746231,0.07843136787414551,4.30353441250784,0.7254902124404907,1.0,0.11736540077511448,0.2446489697490572,0.2078431397676468,0.0784313753247261,0.05098039284348488,0.05081464202359696,0.12886905947780644,0.3176470696926117,353.1563693201511,246.23080074178134,0.0,357.3550188679245,247.17512611717973,0,149.0,179.0,0.0,1,1
3,1,152705,444885,688,695,19,30,304.5999672571298,392.62322779214827,18.65870155455079,0.9257402029754089,440.9422237422756,-202,0.34324600739516953,0.05359429738861456,775.6825497392473,862.3369411082886,98.00510190801293,27.79300311298674,20.615528128088304,341.86206896551727,293.33220633399196,-0.7584840918298295,5983.733870038988,0.765350360610055,518.4823662303388,31560.85182789713,0.12156862765550613,0.06666666269302368,12.671599281911316,0.8078431487083435,1.0,0.09970814735198823,0.2066785752129736,0.18039216101169586,0.05882352963089943,0.0235294122248888,0.04568984236590518,0.1149893124223491,0.25882354378700256,308.769284899301,380.65718338474215,0.0,304.5999672571298,392.62322779214827,0,538.0,188.0,0.0,1,1
4,1,348499,1267187,1131,1291,134,20,525.8388575003084,686.6387450179197,27.68565114708684,0.8860815645916321,666.1251444741142,-467,0.27501781505018597,0.03611979341526965,1174.6046279085283,1484.3830368203485,105.60303025955268,27.678067142792187,22.847319317591726,559.5327254314454,544.4637229496196,-0.6341704911007229,11011.15994876465,0.5984736730933364,1293.1608051806688,100468.81825103797,0.16862745583057404,0.08627451956272125,63.52841683331941,1.0,1.0,0.1313653804531358,0.2882901191998771,0.24313725531101227,0.0470588244497776,0.01568627543747425,0.07619228505237312,0.16870554863987286,0.3607843220233917,509.6779269638166,748.0772025957485,0.0,525.8388575003084,686.6387450179197,0,461.0,1050.0,0.0,1,1
5,1,114527,205368,561,474,45,76,333.01683445825,273.4581103145983,22.14613238603459,0.7874896366834805,381.86424988454206,-485,0.5576672120291379,0.04515461131400996,511.2243879900662,596.8249324550709,107.46627377926528,30.050845137376932,22.825424421026653,347.5697632754432,315.0818500769333,1.1340902864829443,5645.5703063904475,0.7421012389197035,858.6510102674365,37050.80881103501,0.19607843458652496,0.0941176563501358,12.854868096108918,0.4000000059604645,1.0,0.15775326295561942,0.3235115633085212,0.27450981736183167,0.09019608050584793,0.05098039284348488,0.01174335134637781,0.15914505896384312,0.41960784792900085,335.3484445321791,286.0997568937236,0.0,333.01683445825,273.4581103145983,0,317.0,262.0,0.0,1,1
6,1,298772,958930,931,1030,0,0,498.08948964427725,540.5390130266558,47.10408349928069,0.7136056550851549,616.7725068934363,-375,0.3115681019469617,0.021229581932429926,982.0687589519688,1201.6193240789696,160.0781059358212,32.763808703499926,19.026297590440446,820.3199277555102,687.9859325611933,-0.7476475583699249,13298.545950564778,0.4299582953175053,2094.7804618775845,107115.75546951033,0.21176470816135406,0.10588234663009644,34.61592809524365,1.0,1.0,0.1789340105814969,0.35852006034538153,0.3019607961177826,0.14901961386203766,0.0,0.09535012461830662,0.20334803644394556,0.4431372582912445,531.8034876914546,532.6886108987391,0.0,498.08948964427725,540.5390130266558,0,645.0,629.0,0.0,1,1
7,1,488934,2179060,1972,1269,0,164,877.6779503982133,744.9973125207083,102.35112419866402,0.9357666556521981,789.0057690318506,-1850,0.2243784016961442,0.009770288385489496,1895.6287213802252,2015.7333653040523,126.66885963013956,29.900636396567545,20.248456731316587,1049.8357509048058,668.436335697316,-1.4510524582187312,25077.04504046658,0.3711040203049384,1369.4235495743342,58220.558426462114,0.06666667014360428,0.03921568766236305,27.636881682936774,1.0,1.0,0.05771583215637603,0.11907651835720591,0.09803921729326248,0.003921568859368563,0.0,0.034679045130547724,0.07658934221990284,0.15294118225574493,850.3912679467429,749.3829926218175,0.0,877.6779503982133,744.9973125207083,0,1254.0,1114.0,0.0,1,1
